Names,inchikey,smiles
(3'-5')-uridylylguanosine,BJDSHVBWORJTID-VMIOUTBZSA-N,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4NC(=NC5=O)N)O)O)O
ginkgolic acid C13:0,VEPUCZUJLKAVNM-UHFFFAOYSA-N,CCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
stearoyl ethanolamide,OTGQIQQTPXJQRG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCCO
glycitein,DXYUAIFZCFRPTH-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
p-cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,CC1=CC=C(C=C1)O
alpha-hydroxyisocaproate,LVRFTAZAXQPQHI-YFKPBYRVSA-N,CC(C)C[C@@H](C(=O)O)O
caffeate,QAIPRVGONGVQAS-DUXPYHPUSA-N,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
sphinganine,OTKJDMGTUTTYMP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(C(CO)N)O
threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)N)O
urate,LEHOTFFKMJEONL-UHFFFAOYSA-N,C12=C(NC(=O)N1)NC(=O)NC2=O
leucylalanine,HSQGMTRYSIHDAC-UHFFFAOYSA-N,CC(C)CC(C(=O)NC(C)C(=O)O)N
fumarate,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C(=C/C(=O)O)\C(=O)O
1-oleoylglycerophosphate (18:1),WRGQSWVCFNIUNZ-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)O)O
salicyluric glucuronide*,OEPADIDIUZTYOX-QKZHPOIUSA-N,C1=CC=C(C(=C1)C(=O)NCC(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)O
trans-urocanate,LOIYMIARKYCTBW-OWOJBTEDSA-N,C1=C(NC=N1)/C=C/C(=O)O
adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
diphenhydramine,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
valsartan,ACWBQPMHZXGDFX-UHFFFAOYSA-N,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
gamma-glutamyltyrosine,VVLXCWVSSLFQDS-QWRGUYRKSA-N,C1=CC(=CC=C1C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O
palmitoleate (16:1n7),SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCC(=O)O
narirutin,HXTFHSYLYXVTHC-AJHDJQPGSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)O)O)O)O)O)O
dipicolinate,WJJMNDUMQPNECX-UHFFFAOYSA-N,C1=CC(=NC(=C1)C(=O)O)C(=O)O
3-hydroxystearate,POMQYTSPMKEQNB-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(CC(=O)O)O
10-undecenoate (11:1n1),FRPZMMHWLSIFAZ-UHFFFAOYSA-M,C=CCCCCCCCCC(=O)[O-]
retinol (Vitamin A),FPIPGXGPPPQFEQ-OVSJKPMPSA-N,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
N-acetyl-3-methylhistidine*,FKTXRTPBUWLETL-QMMMGPOBSA-N,CC(=O)N[C@@H](CC1=CN=CN1C)C(=O)O
mannitol/sorbitol,FBPFZTCFMRRESA-JGWLITMVSA-N,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
phytosphingosine,AERBNCYCJBRYDG-KSZLIROESA-N,CCCCCCCCCCCCCC[C@H]([C@H]([C@H](CO)N)O)O
7-ketolithocholate,DXOCDBGWDZAYRQ-AURDAFMXSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)C
fucose,SHZGCJCMOBCMKK-DHVFOXMCSA-N,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O
malonylcarnitine,ZGNBLKBZJBJFDG-ZETCQYMHSA-N,C[N+](C)(C)C[C@H](CC(=O)[O-])OC(=O)CC(=O)O
lysylleucine,ATIPDCIQTUXABX-UHFFFAOYSA-N,CC(C)CC(C(=O)O)NC(=O)C(CCCCN)N
aspartate,CKLJMWTZIZZHCS-REOHCLBHSA-N,C([C@@H](C(=O)O)N)C(=O)O
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,HTZINLFNXLXRBC-CQLBIITFSA-N,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
"1,3-propanediol",YPFDHNVEDLHUCE-UHFFFAOYSA-N,C(CO)CO
2'-deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
2-hydroxystearate,KIHBGTRZFAVZRV-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(C(=O)O)O
proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C1C[C@H](NC1)C(=O)O
1-palmitoyl-GPA (16:0),YNDYKPRNFWPPFU-GOSISDBHSA-N,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)O
4-hydroxycyclohexylcarboxylic acid,HCFRWBBJISAZNK-UHFFFAOYSA-N,C1CC(CCC1C(=O)O)O
N-acetylarginine,SNEIUMQYRCDYCH-LURJTMIESA-N,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O
saccharin,CVHZOJJKTDOEJC-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)NS2(=O)=O
noroxycodone,RIKMCJUNPCRFMW-ISWURRPUSA-N,COC1=C2C3=C(C[C@@H]4[C@]5([C@]3(CCN4)[C@@H](O2)C(=O)CC5)O)C=C1
thiamin (Vitamin B1),JZRWCGZRTZMZEH-UHFFFAOYSA-N,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
cholesterol,HVYWMOMLDIMFJA-FNOPAARDSA-N,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C
3-hydroxypalmitate,CBWALJHXHCJYTE-UHFFFAOYSA-N,CCCCCCCCCCCCCC(CC(=O)O)O
5-aminovalerate,JJMDCOVWQOJGCB-UHFFFAOYSA-N,C(CCN)CC(=O)O
alpha-hydroxyisovalerate,NGEWQZIDQIYUNV-UHFFFAOYSA-N,CC(C)C(C(=O)O)O
picolinate,SIOXPEMLGUPBBT-UHFFFAOYSA-N,C1=CC=NC(=C1)C(=O)O
cortolone glucuronide (1),OKNSFVSKHQJVRN-XAYCFROHSA-N,CC12CC(CCC1CCC3C2C(=O)CC4(C3CCC4(C(CO)O)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O
tyramine O-sulfate,DYDUXGMDSXJQFT-UHFFFAOYSA-N,C1=CC(=CC=C1CCN)OS(=O)(=O)O
propionylcarnitine (C3),UFAHZIUFPNSHSL-UHFFFAOYSA-N,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
lithocholate,SMEROWZSTRWXGI-HVATVPOCSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
N-acetylphenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O
10-nonadecenoate (19:1n9),BBOWBNGUEWHNQZ-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCCC(=O)O
"N,N-dimethylalanine",QCYOIFVBYZNUNW-BYPYZUCNSA-N,C[C@@H](C(=O)O)N(C)C
3-hydroxybutyrate (BHBA),WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(CC(=O)O)O
alanyl-glutamyl-meso-diaminopimelate,FMNCPUGORYYCEM-UHFFFAOYSA-N,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)O)C(=O)O)N
2-palmitoyl-GPC* (16:0)*,NEGQHKSYEYVFTD-HSZRJFAPSA-N,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[N+](C)(C)C
N-succinyl-leucine,NEOQZHHRAAELEV-UHFFFAOYSA-N,CC(C)CC(C(=O)O)NC(=O)CCC(=O)O
docosahexaenoate (DHA; 22:6n3),MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
3-hydroxy-2-methylpyridine,AQSRRZGQRFFFGS-UHFFFAOYSA-N,CC1=C(C=CC=N1)O
gamma-CEHC,VMJQLPNCUPGMNQ-UHFFFAOYSA-N,CC1=C(C=C2CCC(OC2=C1C)(C)CCC(=O)O)O
spermine,PFNFFQXMRSDOHW-UHFFFAOYSA-N,C(CCNCCCN)CNCCCN
catechol sulfate,MZPWKJZDOCIALD-UHFFFAOYSA-N,C1=CC=C(C(=C1)O)OS(=O)(=O)O
2-methylserine,CDUUKBXTEOFITR-UHFFFAOYSA-N,CC(CO)(C(=O)O)N
deoxycarnitine,JHPNVNIEXXLNTR-UHFFFAOYSA-O,C[N+](C)(C)CCCC(=O)O
"1,5-anhydroglucitol (1,5-AG)",MPCAJMNYNOGXPB-SLPGGIOYSA-N,C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
alpha-tocotrienol,RZFHLOLGZPDCHJ-XZXLULOTSA-N,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C(=C1O)C)C
hexadecanedioate (C16),QQHJDPROMQRDLA-UHFFFAOYSA-N,C(CCCCCCCC(=O)O)CCCCCCC(=O)O
"2,4-dihydroxybutyrate",UFYGCFHQAXXBCF-UHFFFAOYSA-N,C(CO)C(C(=O)O)O
biliverdin,RCNSAJSGRJSBKK-YKSNQIBWSA-N,CC\1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/N/C1=C/C4=NC(=O)C(=C4C)C=C)CCC(=O)O
2-hydroxyoctanoate,JKRDADVRIYVCCY-UHFFFAOYSA-N,CCCCCCC(C(=O)O)O
N-palmitoylglycine,KVTFEOAKFFQCCX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)NCC(=O)O
taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,C(CS(=O)(=O)O)N
3-methylxanthine,GMSNIKWWOQHZGF-UHFFFAOYSA-N,CN1C2=C(C(=O)NC1=O)NC=N2
tricarballylate,KQTIIICEAUMSDG-UHFFFAOYSA-N,C(C(CC(=O)O)C(=O)O)C(=O)O
uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
3-(cystein-S-yl)acetaminophen*,LLHICPSCVFRWDT-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)SCC(C(=O)O)N
valylleucine,XCTHZFGSVQBHBW-UHFFFAOYSA-N,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)N
(3'-5')-adenylylcytidine,NHEPQPHJXSVOGF-KPKSGTNCSA-N,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O[C@@H]3[C@H](O[C@H]([C@@H]3O)N4C=NC5=C(N=CN=C54)N)CO)O)O
3-indoxyl sulfate,BXFFHSIDQOFMLE-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O
acisoga,OAUYENAPBFTAQT-UHFFFAOYSA-N,CC(=O)NCCCN1CCCC1=O
"1,3-dimethylurate",OTSBKHHWSQYEHK-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2
arginine,ODKSFYDXXFIFQN-UHFFFAOYSA-N,C(CC(C(=O)O)N)CN=C(N)N
(3'-5')-adenylyluridine,RNNPIPQLZRGXIG-KPKSGTNCSA-N,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O[C@@H]3[C@H](O[C@H]([C@@H]3O)N4C=NC5=C(N=CN=C54)N)CO)O)O
"N2,N2-dimethylguanine",XMSMHKMPBNTBOD-UHFFFAOYSA-N,CN(C)C1=NC(=O)C2=C(N1)N=CN2
tyrosol,YCCILVSKPBXVIP-UHFFFAOYSA-N,C1=CC(=CC=C1CCO)O
3-dehydrocholate,OEKUSRBIIZNLHZ-YXRVOZSUSA-N,C[C@H](CCC(=O)O)[C@@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CCC(=O)C4)C)O)O)C
N-acetyl-S-allyl-L-cysteine,LKRAEHUDIUJBSF-ZETCQYMHSA-N,CC(=O)N[C@@H](CSCC=C)C(=O)O
nicotinamide riboside,JLEBZPBDRKPWTD-TURQNECASA-O,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
paraxanthine,QUNWUDVFRNGTCO-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C(=O)N2)C
N-acetylalanine,KTHDTJVBEPMMGL-VKHMYHEASA-N,C[C@@H](C(=O)O)NC(=O)C
5-acetylamino-6-amino-3-methyluracil,POQOTWQIYYNXAT-UHFFFAOYSA-N,CC(=O)NC1=C(NC(=O)N(C1=O)C)N
quinate,AAWZDTNXLSGCEK-LNVDRNJUSA-N,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O
"cytidine 2',3'-cyclic monophosphate",NMPZCCZXCOMSDQ-UHFFFAOYSA-N,C1=CN(C(=O)N=C1N)C2C3C(C(O2)CO)OP(=O)(O3)O
"3,7-dimethylurate",HMLZLHKHNBLLJD-UHFFFAOYSA-N,CN1C2=C(NC1=O)N(C(=O)NC2=O)C
5-hydroxyhexanoate,YDCRNMJQROAWFT-UHFFFAOYSA-N,CC(CCCC(=O)O)O
glycerophosphoethanolamine,JZNWSCPGTDBMEW-UHFFFAOYSA-N,C(COP(=O)(O)OCC(CO)O)N
dextromethorphan,MKXZASYAUGDDCJ-CGTJXYLNSA-N,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)OC
argininate*,BMFMQGXDDJALKQ-BYPYZUCNSA-N,C(C[C@@H](C(=O)O)O)CN=C(N)N
N-acetyl-1-methylhistidine*,GVRCKHXHWSYDEF-QMMMGPOBSA-N,CC(=O)N[C@@H](CC1=CN(C=N1)C)C(=O)O
beta-alanine,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C(CN)C(=O)O
1-stearoyl-GPC (18:0),IHNKQIMGVNPMTC-RUZDIDTESA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)N
cis-urocanate,LOIYMIARKYCTBW-UPHRSURJSA-N,C1=C(NC=N1)/C=C\C(=O)O
O-desmethylvenlafaxine,KYYIDSXMWOZKMP-UHFFFAOYSA-N,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
3-(4-hydroxyphenyl)lactate (HPLA),JVGVDSSUAVXRDY-UHFFFAOYSA-N,C1=CC(=CC=C1CC(C(=O)O)O)O
dehydroepiandrosterone sulfate (DHEA-S),CZWCKYRVOZZJNM-USOAJAOKSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C
ethylmalonate,UKFXDFUAPNAMPJ-UHFFFAOYSA-N,CCC(C(=O)O)C(=O)O
4-hydroxycinnamate sulfate,OYDCCWNLILCHDJ-ZZXKWVIFSA-N,C1=CC(=CC=C1/C=C/C(=O)O)OS(=O)(=O)O
5-methylhexanoate (i7:0),MHPUGCYGQWGLJL-UHFFFAOYSA-N,CC(C)CCCC(=O)O
azelate (C9-DC),BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O
dehydrocholic acid,OHXPGWPVLFPUSM-KLRNGDHRSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C
cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,C(CCN)CCN
etiocholanolone glucuronide,VFUIRAVTUVCQTF-UHFFFAOYSA-N,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OC5C(C(C(C(O5)C(=O)O)O)O)O
4-acetamidobutanoate,UZTFMUBKZQVKLK-UHFFFAOYSA-N,CC(=O)NCCCC(=O)O
pyridoxate,HXACOUQIXZGNBF-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C(=O)O)CO
2-isopropylmalate,BITYXLXUCSKTJS-UHFFFAOYSA-N,CC(C)C(CC(=O)O)(C(=O)O)O
tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N,C1=CC(=CC=C1CCN)O
1-stearoyl-GPS (18:0)*,ZPDQFUYPBVXUKS-KEKNWZKVSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC[C@@H](C(=O)O)N)O
N-oleoyl-sphingosine (d18:1/18:1)*,OBFSLMQLPNKVRW-RHPAUOISSA-N,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)NC(=O)CCCCCCC/C=C\CCCCCCCC)O
2-O-methylascorbic acid,RMHBODZVODTFAH-UHFFFAOYSA-N,COC1=C(OC(C1=O)C(CO)O)O
tauro-beta-muricholate,XSOLDPYUICCHJX-OEYGYFRSSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
4-hydroxyhippurate,ZMHLUFWWWPBTIU-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)NCC(=O)O)O
2'-deoxyinosine,VGONTNSXDCQUGY-RRKCRQDMSA-N,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O
lactobacillic acid,IJKRDVKGCQRKBI-UHFFFAOYSA-N,CCCCCCC1CC1CCCCCCCCCC(=O)O
serotonin,QZAYGJVTTNCVMB-UHFFFAOYSA-N,C1=CC2=C(C=C1O)C(=CN2)CCN
indolin-2-one,JYGFTBXVXVMTGB-UHFFFAOYSA-N,C1C2=CC=CC=C2NC1=O
glutamate,WHUUTDBJXJRKMK-UHFFFAOYSA-N,C(CC(=O)O)C(C(=O)O)N
arachidonate (20:4n6),YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
4-methylthio-2-oxobutanoate,SXFSQZDSUWACKX-UHFFFAOYSA-N,CSCCC(=O)C(=O)O
N-acetylmethionine,XUYPXLNMDZIRQH-LURJTMIESA-N,CC(=O)N[C@@H](CCSC)C(=O)O
glycochenodeoxycholate,GHCZAUBVMUEKKP-GYPHWSFCSA-N,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,CNCC(=O)O
N-oleoylglycine,HPFXACZRFJDURI-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)NCC(=O)O
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CN2
behenoyl ethanolamide (22:0)*,XHFWUECSNJWBJU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCC(=O)NCCO
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C(=O)(N)N
3-hydroxydodecanedioate*,FYVQCLGZFXHEGL-UHFFFAOYSA-N,C(CCCCC(=O)O)CCCC(CC(=O)O)O
glycylisoleucine,KGVHCTWYMPWEGN-FSPLSTOPSA-N,CC[C@H](C)[C@@H](C(=O)O)NC(=O)CN
valylglutamine,XXDVDTMEVBYRPK-UHFFFAOYSA-N,CC(C)C(C(=O)NC(CCC(=O)N)C(=O)O)N
N6-carbamoylthreonyladenosine,UNUYMBPXEFMLNW-DWVDDHQFSA-N,C[C@H]([C@@H](C(=O)O)NC(=O)NC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O
3-hydroxymargarate,FWZUXWSQLNHYIC-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(CC(=O)O)O
gamma-glutamylmethionine,RQNSKRXMANOPQY-BQBZGAKWSA-N,CSCC[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N
loperamide,RDOIQAHITMMDAJ-UHFFFAOYSA-N,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
2-palmitoylglycerol (16:0),BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO
1-palmitoyl-GPS (16:0)*,XIVOBOJQPNEUSC-UXHICEINSA-N,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)O
dihydroquercetin,CXQWRCVTCMQVQX-UHFFFAOYSA-N,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
dihydrocaffeate,DZAUWHJDUNRCTF-UHFFFAOYSA-N,C1=CC(=C(C=C1CCC(=O)O)O)O
atorvastatin (lipitor),XUKUURHRXDUEBC-KAYWLYCHSA-N,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
HEPES,JKMHFZQWWAIEOD-UHFFFAOYSA-N,C1CN(CC[NH+]1CCO)CCS(=O)(=O)[O-]
fructose,BJHIKXHVCXFQLS-UYFOZJQFSA-N,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O
acetylagmatine,JMACEDIUUMWDIC-UHFFFAOYSA-N,CC(=O)NCCCCN=C(N)N
umbelliferone sulfate,LJOOSFYJELZGMR-UHFFFAOYSA-N,C1=CC(=CC2=C1C=CC(=O)O2)OS(=O)(=O)O
1-ribosyl-imidazoleacetate*,AHPWEWASPTZMEK-UHFFFAOYSA-N,C1=C(N=CN1C2C(C(C(O2)CO)O)O)CC(=O)O
"N,N,N-trimethyl-5-aminovalerate",CDLVFVFTRQPQFU-UHFFFAOYSA-N,C[N+](C)(C)CCCCC(=O)[O-]
"2,3-dihydroxy-2-methylbutyrate",AOWPAWLEXIYETE-UHFFFAOYSA-N,CC(C(C)(C(=O)O)O)O
caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2'-O-methyluridine,SXUXMRMBWZCMEN-ZOQUXTDFSA-N,CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O
phenylacetyltaurine,QUWZFULUMBECLL-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(=O)NCCS(=O)(=O)O
betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-]
p-toluic acid,LPNBBFKOUUSUDB-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(=O)O
8-hydroxyoctanoate,KDMSVYIHKLZKET-UHFFFAOYSA-N,C(CCCC(=O)O)CCCO
palmitoleoyl ethanolamide*,WFRLANWAASSSFV-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCC(=O)NCCO
bilirubin,BPYKTIZUTYGOLE-IFADSCNNSA-N,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C\4/C(=C(C(=O)N4)C=C)C
4-acetamidophenylglucuronide,IPROLSVTVHAQLE-BYNIDDHOSA-N,CC(=O)NC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
5-methyluridine (ribothymidine),DWRXFEITVBNRMK-JXOAFFINSA-N,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
phenol sulfate,CTYRPMDGLDAWRQ-UHFFFAOYSA-N,C1=CC=C(C=C1)OS(=O)(=O)O
N-acetyl-beta-glucosaminylamine,MCGXOCXFFNKASF-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1N)CO)O)O
carboxyethyl-GABA,SRGQUICKDUQCKO-UHFFFAOYSA-N,C(CC(=O)O)CNCCC(=O)O
1-methyl-4-imidazoleacetate,ZHCKPJGJQOPTLB-UHFFFAOYSA-N,CN1C=C(N=C1)CC(=O)O
prolylglycine,RNKSNIBMTUYWSH-YFKPBYRVSA-N,C1C[C@H](NC1)C(=O)NCC(=O)O
theanine,DATAGRPVKZEWHA-YFKPBYRVSA-N,CCNC(=O)CC[C@@H](C(=O)O)N
"2,4-dihydroxyhydrocinnamate",HMCMTJPPXSGYJY-UHFFFAOYSA-N,C1=CC(=C(C=C1O)O)CCC(=O)O
sphingosine,WWUZIQQURGPMPG-CCEZHUSRSA-N,CCCCCCCCCCCCC/C=C/C(C(CO)N)O
5-methylnorleucine,FMUMEWVNYMUECA-LURJTMIESA-N,CC(C)CC[C@@H](C(=O)O)N
1-linolenoyl-digalactosylglycerol (18:3)*,MPSGDHOYFIUPSO-MDAKJLGTSA-N,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O
apiin,NTDLXWMIWOECHG-MFMSCHSJSA-N,C1[C@@]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
2-acetolactate,NMDWGEGFJUBKLB-UHFFFAOYSA-N,CC(=O)C(C)(C(=O)O)O
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),IIZPXYDJLKNOIY-JXPKJXOSSA-N,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
dodecanedioate (C12),TVIDDXQYHWJXFK-UHFFFAOYSA-N,C(CCCCCC(=O)O)CCCCC(=O)O
