Names,inchikey,inchi code
propionylcarnitine (C3),UFAHZIUFPNSHSL-UHFFFAOYSA-N,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3"
2-acetolactate,NMDWGEGFJUBKLB-UHFFFAOYSA-N,"InChI=1S/C5H8O4/c1-3(6)5(2,9)4(7)8/h9H,1-2H3,(H,7,8)"
dihydrokaempferol,PADQINQHPQKXNL-LSDHHAIUSA-N,"InChI=1S/C15H12O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,14-18,20H/t14-,15+/m0/s1"
phenyllactate (PLA),VOXXWSYKYCBWHO-UHFFFAOYSA-N,"InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)"
xanthurenate,FBZONXHGGPHHIY-UHFFFAOYSA-N,"InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4,12H,(H,11,13)(H,14,15)"
glutarate (C5-DC),JFCQEDHGNNZCLN-UHFFFAOYSA-N,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)"
vanillic acid glycine,LOODYTDRRBLQNH-UHFFFAOYSA-N,"InChI=1S/C10H11NO5/c1-16-8-4-6(2-3-7(8)12)10(15)11-5-9(13)14/h2-4,12H,5H2,1H3,(H,11,15)(H,13,14)"
nicotinamide riboside,JLEBZPBDRKPWTD-TURQNECASA-O,"InChI=1S/C11H14N2O5/c12-10(17)6-2-1-3-13(4-6)11-9(16)8(15)7(5-14)18-11/h1-4,7-9,11,14-16H,5H2,(H-,12,17)/p+1/t7-,8-,9-,11-/m1/s1"
homocitrulline,XIGSAGMEBXLVJJ-YFKPBYRVSA-N,"InChI=1S/C7H15N3O3/c8-5(6(11)12)3-1-2-4-10-7(9)13/h5H,1-4,8H2,(H,11,12)(H3,9,10,13)/t5-/m0/s1"
gamma-glutamyltyrosine,VVLXCWVSSLFQDS-QWRGUYRKSA-N,"InChI=1S/C14H18N2O6/c15-10(13(19)20)5-6-12(18)16-11(14(21)22)7-8-1-3-9(17)4-2-8/h1-4,10-11,17H,5-7,15H2,(H,16,18)(H,19,20)(H,21,22)/t10-,11-/m0/s1"
2-linoleoylglycerol (18:2),IEPGNWMPIFDNSD-HZJYTTRNSA-N,"InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-20(18-22)19-23/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3/b7-6-,10-9-"
21-hydroxypregnenolone disulfate,CBOVWLYQUCVTFA-WPWXJNKXSA-N,"InChI=1S/C21H32O9S2/c1-20-9-7-14(30-32(26,27)28)11-13(20)3-4-15-16-5-6-18(19(22)12-29-31(23,24)25)21(16,2)10-8-17(15)20/h3,14-18H,4-12H2,1-2H3,(H,23,24,25)(H,26,27,28)/t14-,15-,16-,17-,18+,20-,21-/m0/s1"
dopamine 3-O-sulfate,NZKRYJGNYPYXJZ-UHFFFAOYSA-N,"InChI=1S/C8H11NO5S/c9-4-3-6-1-2-7(10)8(5-6)14-15(11,12)13/h1-2,5,10H,3-4,9H2,(H,11,12,13)"
dihydroorotate,UFIVEPVSAGBUSI-UHFFFAOYSA-N,"InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)"
caprate (10:0),GHVNFZFCNZKVNT-UHFFFAOYSA-N,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)"
"3,4-dihydroxybenzoate",YQUVCSBJEUQKSH-UHFFFAOYSA-N,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)"
taurochenodeoxycholate,BHTRKEVKTKCXOH-BJLOMENOSA-N,"InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1"
prolylglycine,RNKSNIBMTUYWSH-YFKPBYRVSA-N,"InChI=1S/C7H12N2O3/c10-6(11)4-9-7(12)5-2-1-3-8-5/h5,8H,1-4H2,(H,9,12)(H,10,11)/t5-/m0/s1"
phenylacetylglycine,UTYVDVLMYQPLQB-UHFFFAOYSA-N,"InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)"
N-acetylphenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,"InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1"
N6-acetyllysine,DTERQYGMUDWYAZ-ZETCQYMHSA-N,"InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1"
3b-hydroxy-5-cholenoic acid,HIAJCGFYHIANNA-QIZZZRFXSA-N,"InChI=1S/C24H38O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h5,15,17-21,25H,4,6-14H2,1-3H3,(H,26,27)/t15-,17+,18+,19-,20+,21+,23+,24-/m1/s1"
phytosphingosine,AERBNCYCJBRYDG-KSZLIROESA-N,"InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3/t16-,17+,18-/m0/s1"
7-ketodeoxycholate,RHCPKKNRWFXMAT-RRWYKFPJSA-N,"InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-18,20,22,25,27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,20+,22+,23+,24-/m1/s1"
atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)"
linoleate (18:2n6),OYHQOLUKZRVURQ-HZJYTTRNSA-N,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-"
sertraline,VGKDLMBJGBXTGI-SJCJKPOMSA-N,"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/t12-,17-/m0/s1"
diosmetin,MBNGWHIJMBWFHU-UHFFFAOYSA-N,"InChI=1S/C16H12O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-7,17-19H,1H3"
2-aminophenol,CDAWCLOXVUBKRW-UHFFFAOYSA-N,"InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2"
2-methylserine,CDUUKBXTEOFITR-UHFFFAOYSA-N,"InChI=1S/C4H9NO3/c1-4(5,2-6)3(7)8/h6H,2,5H2,1H3,(H,7,8)"
eriodictyol,SBHXYTNGIZCORC-UHFFFAOYSA-N,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2"
umbelliferone,ORHBXUUXSCNDEV-UHFFFAOYSA-N,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H"
erythrose,YTBSYETUWUMLBZ-IUYQGCFVSA-N,"InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1,3-4,6-8H,2H2/t3-,4+/m0/s1"
adipoylcarnitine (C6-DC),BSVHAXJKBCWVDA-UHFFFAOYSA-N,"InChI=1S/C13H23NO6/c1-14(2,3)9-10(8-12(17)18)20-13(19)7-5-4-6-11(15)16/h10H,4-9H2,1-3H3,(H-,15,16,17,18)"
25-hydroxycholesterol sulfate,PIUZYOCNZPYXOA-UHFFFAOYSA-N,"InChI=1S/C27H46O5S/c1-18(7-6-14-25(2,3)28)22-10-11-23-21-9-8-19-17-20(32-33(29,30)31)12-15-26(19,4)24(21)13-16-27(22,23)5/h8,18,20-24,28H,6-7,9-17H2,1-5H3,(H,29,30,31)"
N6-methyllysine,PQNASZJZHFPQLE-LURJTMIESA-N,"InChI=1S/C7H16N2O2/c1-9-5-3-2-4-6(8)7(10)11/h6,9H,2-5,8H2,1H3,(H,10,11)/t6-/m0/s1"
nicotianamine,KRGPXXHMOXVMMM-CIUDSAMLSA-N,"InChI=1S/C12H21N3O6/c13-7(10(16)17)1-4-14-8(11(18)19)2-5-15-6-3-9(15)12(20)21/h7-9,14H,1-6,13H2,(H,16,17)(H,18,19)(H,20,21)/t7-,8-,9-/m0/s1"
pipecolate,HXEACLLIILLPRG-UHFFFAOYSA-N,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)"
2-hydroxyacetaminophen sulfate*,HRLQZTOIKWEZBN-UHFFFAOYSA-N,"InChI=1S/C8H9NO6S/c1-5(10)9-7-3-2-6(4-8(7)11)15-16(12,13)14/h2-4,11H,1H3,(H,9,10)(H,12,13,14)"
genistein,TZBJGXHYKVUXJN-UHFFFAOYSA-N,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H"
nomilin,KPDOJFFZKAUIOE-WNGDLQANSA-N,"InChI=1S/C28H34O9/c1-14(29)34-19-12-20(31)36-24(2,3)17-11-18(30)27(6)16(26(17,19)5)7-9-25(4)21(15-8-10-33-13-15)35-23(32)22-28(25,27)37-22/h8,10,13,16-17,19,21-22H,7,9,11-12H2,1-6H3/t16-,17+,19+,21+,22-,25+,26-,27+,28-/m1/s1"
3-ketosphinganine,KBUNOSOGGAARKZ-UHFFFAOYSA-N,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3"
heme,KABFMIBPWCXCRK-UHFFFAOYSA-L,"InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);/q;+2/p-2"
tramadol,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,"InChI=1S/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3/t14-,16+/m1/s1"
1-palmitoyl-GPE (16:0),YVYMBNSKXOXSKW-HXUWFJFHSA-N,"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1"
3-hydroxytridecanoate,CWSNHZHHWHLJIM-UHFFFAOYSA-N,"InChI=1S/C13H26O3/c1-2-3-4-5-6-7-8-9-10-12(14)11-13(15)16/h12,14H,2-11H2,1H3,(H,15,16)"
glycerophosphoglycerol,LLCSXHMJULHSJN-UHFFFAOYSA-N,"InChI=1S/C6H15O8P/c7-1-5(9)3-13-15(11,12)14-4-6(10)2-8/h5-10H,1-4H2,(H,11,12)"
4-methyl-2-oxopentanoate,BKAJNAXTPSGJCU-UHFFFAOYSA-N,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)"
4-hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)"
noroxymorphone,HLMSIZPQBSYUNL-IPOQPSJVSA-N,"InChI=1S/C16H17NO4/c18-9-2-1-8-7-11-16(20)4-3-10(19)14-15(16,5-6-17-11)12(8)13(9)21-14/h1-2,11,14,17-18,20H,3-7H2/t11-,14+,15+,16-/m1/s1"
1-stearoyl-GPA (18:0),LAYXSTYJRSVXIH-UHFFFAOYSA-N,"InChI=1S/C21H43O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)27-18-20(22)19-28-29(24,25)26/h20,22H,2-19H2,1H3,(H2,24,25,26)"
7-ketolithocholate,DXOCDBGWDZAYRQ-AURDAFMXSA-N,"InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-19,22,25H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,22+,23+,24-/m1/s1"
CMP,IERHLVCPSMICTF-XVFCMESISA-N,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"
cysteine sulfinic acid,ADVPTQAUNPRNPO-UHFFFAOYSA-N,"InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)"
2-hydroxyheptanoate*,RGMMREBHCYXQMA-UHFFFAOYSA-N,"InChI=1S/C7H14O3/c1-2-3-4-5-6(8)7(9)10/h6,8H,2-5H2,1H3,(H,9,10)"
sedoheptulose,HSNZZMHEPUFJNZ-SHUUEZRQSA-N,"InChI=1S/C7H14O7/c8-1-3(10)5(12)7(14)6(13)4(11)2-9/h3,5-10,12-14H,1-2H2/t3-,5-,6-,7-/m1/s1"
1-methylguanidine,CHJJGSNFBQVOTG-UHFFFAOYSA-N,"InChI=1S/C2H7N3/c1-5-2(3)4/h1H3,(H4,3,4,5)"
cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)"
guanidinosuccinate,VVHOUVWJCQOYGG-UHFFFAOYSA-N,"InChI=1S/C5H9N3O4/c6-5(7)8-2(4(11)12)1-3(9)10/h2H,1H2,(H,9,10)(H,11,12)(H4,6,7,8)"
2'-deoxyuridine,MXHRCPNRJAMMIM-SHYZEUOFSA-N,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1"
ginkgolic acid C15:1,YXHVCZZLWZYHSA-FPLPWBNLSA-N,"InChI=1S/C22H34O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h7-8,15,17-18,23H,2-6,9-14,16H2,1H3,(H,24,25)/b8-7-"
6-oxopiperidine-2-carboxylate,FZXCPFJMYOQZCA-UHFFFAOYSA-N,"InChI=1S/C6H9NO3/c8-5-3-1-2-4(7-5)6(9)10/h4H,1-3H2,(H,7,8)(H,9,10)"
4-methylthio-2-oxobutanoate,SXFSQZDSUWACKX-UHFFFAOYSA-N,"InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2,1H3,(H,7,8)"
palmitoleate (16:1n7),SECPZKHBENQXJG-FPLPWBNLSA-N,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-"
apiin,NTDLXWMIWOECHG-MFMSCHSJSA-N,"InChI=1S/C26H28O14/c27-8-18-20(32)21(33)22(40-25-23(34)26(35,9-28)10-36-25)24(39-18)37-13-5-14(30)19-15(31)7-16(38-17(19)6-13)11-1-3-12(29)4-2-11/h1-7,18,20-25,27-30,32-35H,8-10H2/t18-,20-,21+,22-,23-,24-,25+,26-/m1/s1"
2-hydroxysebacate,LPIOYESQKJFWPQ-UHFFFAOYSA-N,"InChI=1S/C10H18O5/c11-8(10(14)15)6-4-2-1-3-5-7-9(12)13/h8,11H,1-7H2,(H,12,13)(H,14,15)"
erythritol,UNXHWFMMPAWVPI-ZXZARUISSA-N,"InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+"
etiocholanolone glucuronide,VFUIRAVTUVCQTF-UHFFFAOYSA-N,"InChI=1S/C25H38O8/c1-24-9-7-13(32-23-20(29)18(27)19(28)21(33-23)22(30)31)11-12(24)3-4-14-15-5-6-17(26)25(15,2)10-8-16(14)24/h12-16,18-21,23,27-29H,3-11H2,1-2H3,(H,30,31)"
"bilirubin (E,Z or Z,E)*",BPYKTIZUTYGOLE-VVCLLGATSA-N,"InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14+"
hexadecasphinganine (d16:0)*,ZKLREJQHRKUJHD-JKSUJKDBSA-N,"InChI=1S/C16H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(19)15(17)14-18/h15-16,18-19H,2-14,17H2,1H3/t15-,16+/m0/s1"
2-palmitoyl-GPC* (16:0)*,NEGQHKSYEYVFTD-HSZRJFAPSA-N,"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)32-23(21-26)22-31-33(28,29)30-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1"
carboxyethyl-GABA,SRGQUICKDUQCKO-UHFFFAOYSA-N,"InChI=1S/C7H13NO4/c9-6(10)2-1-4-8-5-3-7(11)12/h8H,1-5H2,(H,9,10)(H,11,12)"
2-oxo-1-pyrrolidinepropionate,XOMYTIUVNSWEAI-UHFFFAOYSA-N,"InChI=1S/C7H11NO3/c9-6-2-1-4-8(6)5-3-7(10)11/h1-5H2,(H,10,11)"
xanthine,LRFVTYWOQMYALW-UHFFFAOYSA-N,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"
linoleoyl ethanolamide,KQXDGUVSAAQARU-HZJYTTRNSA-N,"InChI=1S/C20H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(23)21-18-19-22/h6-7,9-10,22H,2-5,8,11-19H2,1H3,(H,21,23)/b7-6-,10-9-"
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H"
6-hydroxyindole sulfate,QRHHXPIYYXPEMG-UHFFFAOYSA-N,"InChI=1S/C8H7NO4S/c10-14(11,12)13-7-2-1-6-3-4-9-8(6)5-7/h1-5,9H,(H,10,11,12)"
N-acetylcitrulline,WMQMIOYQXNRROC-LURJTMIESA-N,"InChI=1S/C8H15N3O4/c1-5(12)11-6(7(13)14)3-2-4-10-8(9)15/h6H,2-4H2,1H3,(H,11,12)(H,13,14)(H3,9,10,15)/t6-/m0/s1"
valerate (5:0),NQPDZGIKBAWPEJ-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)"
betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"
tryptamine,APJYDQYYACXCRM-UHFFFAOYSA-N,"InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2"
taurodeoxycholate,AWDRATDZQPNJFN-VAYUFCLWSA-N,"InChI=1S/C26H45NO6S/c1-16(4-9-24(30)27-12-13-34(31,32)33)20-7-8-21-19-6-5-17-14-18(28)10-11-25(17,2)22(19)15-23(29)26(20,21)3/h16-23,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17-,18-,19+,20-,21+,22+,23+,25+,26-/m1/s1"
norvaline,SNDPXSYFESPGGJ-UHFFFAOYSA-N,"InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"
dextromethorphan,MKXZASYAUGDDCJ-CGTJXYLNSA-N,"InChI=1S/C18H25NO/c1-19-10-9-18-8-4-3-5-15(18)17(19)11-13-6-7-14(20-2)12-16(13)18/h6-7,12,15,17H,3-5,8-11H2,1-2H3/t15-,17+,18+/m0/s1"
heptadecatrienoate (17:3)*,FAFSAZIEJFMBBY-PDBXOOCHSA-N,"InChI=1S/C17H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h3-4,6-7,9-10H,2,5,8,11-16H2,1H3,(H,18,19)/b4-3-,7-6-,10-9-"
glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"
tyrosylglycine,HPYDSVWYXXKHRD-UHFFFAOYSA-N,"InChI=1S/C11H14N2O4/c12-9(11(17)13-6-10(15)16)5-7-1-3-8(14)4-2-7/h1-4,9,14H,5-6,12H2,(H,13,17)(H,15,16)"
estrone 3-sulfate,JKKFKPJIXZFSSB-CBZIJGRNSA-N,"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/t14-,15-,16+,18+/m1/s1"
phenylacetylaspartate,SVFKZPQPMMZHLZ-UHFFFAOYSA-N,"InChI=1S/C12H13NO5/c14-10(6-8-4-2-1-3-5-8)13-9(12(17)18)7-11(15)16/h1-5,9H,6-7H2,(H,13,14)(H,15,16)(H,17,18)"
N-propionylalanine,INPGLFHHFHOGRM-UHFFFAOYSA-N,"InChI=1S/C6H11NO3/c1-3-5(8)7-4(2)6(9)10/h4H,3H2,1-2H3,(H,7,8)(H,9,10)"
7-methylurate,YHNNPKUFPWLTOP-UHFFFAOYSA-N,"InChI=1S/C6H6N4O3/c1-10-2-3(8-6(10)13)7-5(12)9-4(2)11/h1H3,(H3,7,8,9,11,12,13)"
citalopram/escitalopram,WSEQXVZVJXJVFP-FQEVSTJZSA-N,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3/t20-/m0/s1"
7-methylxanthine,PFWLFWPASULGAN-UHFFFAOYSA-N,"InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)"
ribitol,HEBKCHPVOIAQTA-NGQZWQHPSA-N,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5?"
p-cresol glucuronide*,JPAUCQAJHLSMQW-XPORZQOISA-N,"InChI=1S/C13H16O7/c1-6-2-4-7(5-3-6)19-13-10(16)8(14)9(15)11(20-13)12(17)18/h2-5,8-11,13-16H,1H3,(H,17,18)/t8-,9-,10+,11-,13+/m0/s1"
6-oxolithocholate,JWZBXKZZDYMDCJ-IJPFKRJSSA-N,"InChI=1S/C24H38O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17-,18+,19+,20+,23-,24-/m1/s1"
carnosine,CQOVPNPJLQNMDC-ZETCQYMHSA-N,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1"
lactobacillic acid,IJKRDVKGCQRKBI-UHFFFAOYSA-N,"InChI=1S/C19H36O2/c1-2-3-4-10-13-17-16-18(17)14-11-8-6-5-7-9-12-15-19(20)21/h17-18H,2-16H2,1H3,(H,20,21)"
phosphocholine,YHHSONZFOIEMCP-UHFFFAOYSA-O,"InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1"
caffeate,QAIPRVGONGVQAS-DUXPYHPUSA-N,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+"
2-methoxyacetaminophen sulfate*,NZKKXAGORRATJB-UHFFFAOYSA-N,"InChI=1S/C9H11NO6S/c1-6(11)10-8-4-3-7(5-9(8)15-2)16-17(12,13)14/h3-5H,1-2H3,(H,10,11)(H,12,13,14)"
"7,12-diketolithocholate",MAFJMPFLJJCSTB-FQBQTYDJSA-N,"InChI=1S/C24H36O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-18,22,25H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,22+,23+,24-/m1/s1"
oxalate (ethanedioate),MUBZPKHOEPUJKR-UHFFFAOYSA-N,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)"
indolepropionate,GOLXRNDWAUTYKT-UHFFFAOYSA-N,"InChI=1S/C11H11NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6H2,(H,13,14)"
palmitate (16:0),IPCSVZSSVZVIGE-UHFFFAOYSA-N,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)"
anserine,MYYIAHXIVFADCU-QMMMGPOBSA-N,"InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1"
"1,1-kestotetraose",FLDFNEBHEXLZRX-DLQNOBSRSA-N,"InChI=1S/C24H42O21/c25-1-8-12(30)16(34)17(35)21(41-8)45-24(20(38)15(33)11(4-28)44-24)7-40-23(19(37)14(32)10(3-27)43-23)6-39-22(5-29)18(36)13(31)9(2-26)42-22/h8-21,25-38H,1-7H2/t8-,9-,10-,11-,12-,13-,14-,15-,16+,17-,18+,19+,20+,21-,22-,23-,24+/m1/s1"
propionylglycine (C3),WOMAZEJKVZLLFE-UHFFFAOYSA-N,"InChI=1S/C5H9NO3/c1-2-4(7)6-3-5(8)9/h2-3H2,1H3,(H,6,7)(H,8,9)"
tyrosol,YCCILVSKPBXVIP-UHFFFAOYSA-N,"InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2"
