BIOCHEMICAL,PATHWAY_SORTORDER,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
2-hydroxybehenate,1914,Lipid,"Fatty Acid, Monohydroxy",57663,LC/MS Neg,100015637,6384,355.3218,193484,,,
2-hydroxybutyrate/2-hydroxyisobutyrate,550,Amino Acid,Glutathione Metabolism,52281,LC/MS Polar,100008928,1258,103.0401,,,,
2-hydroxydecanoate,1902,Lipid,"Fatty Acid, Monohydroxy",42489,LC/MS Neg,100004089,4840,187.134,21488,5393-81-7,,
2-hydroxyglutarate,1614,Lipid,"Fatty Acid, Dicarboxylate",52294,LC/MS Pos Early,100002070,958,166.071,43,40951-21-1,C02630,HMDB0059655
2-hydroxyheptanoate*,1899,Lipid,"Fatty Acid, Monohydroxy",61827,LC/MS Polar,100019960,925,145.087,2750949,,,
2-hydroxyhippurate (salicylurate),4361,Xenobiotics,Benzoate Metabolism,18281,LC/MS Neg,1869,2184,194.0459,10253,487-54-7,C07588,HMDB00840
2-hydroxyibuprofen,5202,Xenobiotics,"Drug - Analgesics, Anesthetics",43330,LC/MS Neg,100004169,3462,221.1183,10443535,51146-55-5,,HMDB60920
2-hydroxylaurate,1906,Lipid,"Fatty Acid, Monohydroxy",52916,LC/MS Neg,100008934,5211,215.1653,97783,2984-55-6,,
2-hydroxylignocerate*,1915,Lipid,"Fatty Acid, Monohydroxy",61699,LC/MS Polar,100019894,710,383.3531,102430,,C17873,HMDB39540
2-hydroxymyristate,1907,Lipid,"Fatty Acid, Monohydroxy",32413,LC/MS Neg,100001180,5364,243.1966,1563,2507-55-3,C13790,HMDB02261
2-hydroxynervonate*,1916,Lipid,"Fatty Acid, Monohydroxy",61698,LC/MS Polar,100015638,714,381.3374,5312783,,,
2-hydroxyoctanoate,1900,Lipid,"Fatty Acid, Monohydroxy",22036,LC/MS Neg,100000743,3736.8,159.1027,94180,617-73-2,,HMDB02264
2-hydroxyoleate,1910,Lipid,"Fatty Acid, Monohydroxy",54920,LC/MS Neg,100010866,5560,297.2435,9796304,56472-29-8,,
2-hydroxypalmitate,1908,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5511.2,271.2279,92836,764-67-0,,HMDB31057
2-hydroxyphenylacetate,153,Amino Acid,Phenylalanine Metabolism,1432,LC/MS Polar,235,858.6,151.0401,11970,614-75-5,C05852,HMDB00669
2-hydroxysebacate,1660,Lipid,"Fatty Acid, Dicarboxylate",63357,LC/MS Neg,100020378,1324,217.1081,128458,103963-71-9,,HMDB00424
2-hydroxystearate,1911,Lipid,"Fatty Acid, Monohydroxy",17945,LC/MS Neg,1239,5695,299.2592,69417,629-22-1,C03045,
2-iminopiperidine,5970,Xenobiotics,Chemical,63043,LC/MS Pos Early,100021018,2591,99.0917,85237,16011-96-4,,
2-isopropylmalate,4647,Xenobiotics,Food Component/Plant,15667,LC/MS Polar,100000409,2605,175.0612,77,3237-44-3,C02504,HMDB00402
2-keto-3-deoxy-gluconate,4985,Xenobiotics,Food Component/Plant,48141,LC/MS Polar,100005946,1900,177.0405,161227,17510-99-5,C00204,HMDB01353
2-linoleoylglycerol (18:2),2786,Lipid,Monoacylglycerol,32506,LC/MS Neg,100000987,6250,279.2329,5365676,3443-82-1,,HMDB11538
2-methoxyacetaminophen glucuronide*,5189,Xenobiotics,"Drug - Analgesics, Anesthetics",33161,LC/MS Neg,100001795,1633,356.0987,14367271,,,
2-methoxyacetaminophen sulfate*,5188,Xenobiotics,"Drug - Analgesics, Anesthetics",47031,LC/MS Neg,100001793,1949,260.0234,86290014,,,
2-methoxyhydroquinone sulfate (1),4473,Xenobiotics,Benzoate Metabolism,64049,LC/MS Neg,100021839,1505,218.9969,,,,
2-methoxyhydroquinone sulfate (2),4474,Xenobiotics,Benzoate Metabolism,64050,LC/MS Neg,100021840,1619,218.9969,,,,
2-methoxyresorcinol sulfate,5945,Xenobiotics,Chemical,48445,LC/MS Neg,100006184,1863,218.9969,,1446269-78-8,,
2-methylbutyrylcarnitine (C5),369,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3050,246.17,6426901,31023-25-3,,HMDB00378
2-methylbutyrylphenylalanine,4451,Xenobiotics,Benzoate Metabolism,44580,LC/MS Neg,100004535,4025,248.1292,,,,
2-methylcitrate/homocitrate,1415,Energy,TCA Cycle,52282,LC/MS Neg,100008929,575,205.0354,,,,
2-methylmalonylcarnitine (C4-DC),1726,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),35482,LC/MS Pos Early,100001596,2440,262.1285,53481628,149181-64-6,,HMDB13133
2-methylserine,16,Amino Acid,"Glycine, Serine and Threonine Metabolism",53229,LC/MS Pos Early,100009246,1652,120.0655,94309,,C02115,
2-myristoylglycerol (14:0),2781,Lipid,Monoacylglycerol,34383,LC/MS Neg,100001408,6230,227.2016,137938,27214-38-6,,HMDB11530
2-O-methylascorbic acid,4249,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,63990,LC/MS Polar,100003258,1512,189.0405,99779,17860-87-6,,
2-oleoylglycerol (18:1),2785,Lipid,Monoacylglycerol,21232,LC/MS Neg,100000943,6500,281.2486,5319879,3443-84-3,,HMDB11537
2-oxindole-3-acetate,4648,Xenobiotics,Food Component/Plant,40479,LC/MS Neg,100003109,2076,190.051,3080590,2971-31-5,,HMDB35514
2-oxo-1-pyrrolidinepropionate,5822,Xenobiotics,Chemical,40452,LC/MS Pos Early,100003265,1600,158.0812,3146688,77191-38-9,,
2-oxoarginine*,459,Amino Acid,Urea cycle; Arginine and Proline Metabolism,55072,LC/MS Pos Early,100002784,1760,174.0873,558,663193,C03771,HMDB04225
2-palmitoleoylglycerol (16:1)*,2783,Lipid,Monoacylglycerol,52432,LC/MS Neg,100008953,6016,253.2173,,,,
2-palmitoyl-galactosylglycerol (16:0)*,2900,Lipid,Galactosyl Glycerolipids,62373,LC/MS Neg,100020696,6060,491.3226,,,,
2-palmitoyl-GPC* (16:0)*,2519,Lipid,Lysophospholipid,35253,LC/MS Neg,100001562,6215,570.3413,15061532,,,HMDB61702
2-palmitoylglycerol (16:0),2782,Lipid,Monoacylglycerol,33419,LC/MS Neg,100001048,6400,255.2329,123409,23470-00-0,,HMDB11533
2-piperidinone,4517,Xenobiotics,Food Component/Plant,43400,LC/MS Pos Early,100004295,1675,100.0757,12665,675-20-7,,HMDB11749
2-stearoyl-GPE (18:0)*,2585,Lipid,Lysophospholipid,41220,LC/MS Neg,100003901,6350,480.3096,53480667,,,HMDB11129
20-hydroxyecdysone,4645,Xenobiotics,Food Component/Plant,27446,LC/MS Neg,100001037,4021,479.3014,5459840,5289-74-7,C02633,HMDB30180
21-hydroxypregnanolone disulfate,3166,Lipid,Pregnenolone Steroids,48431,LC/MS Neg,100006119,4300,246.0749,,,,
21-hydroxypregnanolone monosulfate (1),3164,Lipid,Pregnenolone Steroids,62311,LC/MS Neg,100020547,4922,413.2003,174681,,,
21-hydroxypregnanolone monosulfate (2),3165,Lipid,Pregnenolone Steroids,62312,LC/MS Neg,100020548,5094,413.2003,,,,
21-hydroxypregnenolone disulfate,3163,Lipid,Pregnenolone Steroids,46115,LC/MS Neg,100001999,3935,245.0671,134595,1164-98-3,,
25-hydroxycholesterol sulfate,3113,Lipid,Sterol,64194,LC/MS Polar,100021568,700,481.2993,11705729,884905-07-1,,
"2R,3R-dihydroxybutyrate",1974,Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543,119.035,13120901,759-06-8,,HMDB00498
"2S,3R-dihydroxybutyrate",1973,Lipid,"Fatty Acid, Dihydroxy",62950,LC/MS Polar,100002284,1660,119.035,10964471,5057-93-2,,HMDB02453
3'-sialyllactose,1272,Carbohydrate,Disaccharides and Oligosaccharides,40424,LC/MS Polar,100003408,3720,632.2044,123914,35890-38-1,,HMDB00825
"3,4-dihydroxybenzoate",4386,Xenobiotics,Benzoate Metabolism,18292,LC/MS Neg,100000440,729,153.0193,72,99-50-3,C00230,HMDB01856
"3,4-dihydroxybutyrate",1977,Lipid,"Fatty Acid, Dihydroxy",62952,LC/MS Polar,100001730,2204,119.035,,51267-44-8,,
"3,4-dihydroxyphenylacetate",201,Amino Acid,Tyrosine Metabolism,18296,LC/MS Neg,100000449,1040,123.0452,547,102-32-9,C01161,HMDB01336
"3,4-dihydroxyphenylacetate sulfate",225,Amino Acid,Tyrosine Metabolism,48736,LC/MS Neg,100006254,800,246.9918,193283,38339-04-7,,
"3,5-dihydroxyphenylpropionate",4465,Xenobiotics,Benzoate Metabolism,63342,LC/MS Polar,100021256,1420,181.0506,161525,26539-01-5,,
"3,7-dimethylurate",4487,Xenobiotics,Xanthine Metabolism,34399,LC/MS Neg,100001398,1418,195.0524,83126,13087-49-5,C16360,HMDB01982
3-(2-hydroxyphenyl)propionate,4429,Xenobiotics,Benzoate Metabolism,35634,LC/MS Neg,100001623,2530,165.0557,873,495-78-3,C01198,HMDB33752
3-(3-hydroxyphenyl)propionate,4460,Xenobiotics,Benzoate Metabolism,35635,LC/MS Neg,100001624,1980,165.0557,91,621-54-5,C11457,HMDB00375
3-(3-hydroxyphenyl)propionate sulfate,4457,Xenobiotics,Benzoate Metabolism,45415,LC/MS Neg,100005391,1294,245.0125,187488,86321-32-6,,
3-(4-hydroxyphenyl)lactate (HPLA),175,Amino Acid,Tyrosine Metabolism,32197,LC/MS Neg,240,1379,181.0506,9378,6482-98-0,C03672,HMDB00755
3-(4-hydroxyphenyl)propionate,4462,Xenobiotics,Benzoate Metabolism,39587,LC/MS Neg,100002914,1670,165.0557,10394,501-97-3,C01744,HMDB02199
3-(cystein-S-yl)acetaminophen*,5190,Xenobiotics,"Drug - Analgesics, Anesthetics",34365,LC/MS Pos Early,100001797,2420,271.0747,5233914,,,
3-(methylthio)acetaminophen sulfate*,5194,Xenobiotics,"Drug - Analgesics, Anesthetics",62567,LC/MS Neg,100020827,2265,276.0006,,,,
3-(N-acetyl-L-cystein-S-yl) acetaminophen,5184,Xenobiotics,"Drug - Analgesics, Anesthetics",45721,LC/MS Neg,2048,2094,311.0707,83967,52372-86-8,,
3-amino-2-piperidone,457,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62853,LC/MS Pos Early,100020361,2065,115.0866,5200225,1892-22-4,,HMDB00323
3-aminoisobutyrate,4183,Nucleotide,"Pyrimidine Metabolism, Thymine containing",1566,LC/MS Pos Early,1114,2190,104.0706,64956,10569-72-9;214139-20-5,C05145,HMDB03911
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP),1658,Lipid,"Fatty Acid, Dicarboxylate",61871,LC/MS Neg,100020004,4000,267.1238,194501,,,
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),1656,Lipid,"Fatty Acid, Dicarboxylate",31787,LC/MS Neg,100001178,2800,239.0925,123979,86879-39-2,,HMDB61112
3-carboxyadipate,1617,Lipid,"Fatty Acid, Dicarboxylate",54723,LC/MS Neg,100009325,571,189.0405,222467,923-42-2,,
3-dehydrochenodeoxycholate,3394,Lipid,Secondary Bile Acid Metabolism,64097,LC/MS Neg,100004194,5189,389.2697,,4185-00-6,,
3-dehydrocholate,3439,Lipid,Secondary Bile Acid Metabolism,43835,LC/MS Neg,100001062,5050,405.2646,159655,2304-89-4,,HMDB00502
3-dehydrodeoxycholate,3393,Lipid,Secondary Bile Acid Metabolism,63119,LC/MS Neg,100020860,5235,389.2697,160738,834588,,HMDB62742
3-dehydroshikimate,4573,Xenobiotics,Food Component/Plant,36764,LC/MS Polar,100001679,1962,171.0299,80,2922-42-1,C02637,
3-formylindole,4652,Xenobiotics,Food Component/Plant,62863,LC/MS Neg,100020219,3709,144.0455,10256,487-89-8,C08493,HMDB29737
3-fucosyllactose,1275,Carbohydrate,Disaccharides and Oligosaccharides,48147,LC/MS Polar,100002931,4300,533.1723,161460,41312-47-4,G00313,HMDB02094
3-hydroxy-2-methylpyridine,5975,Xenobiotics,Chemical,64336,LC/MS Pos Early,100020974,2551,110.0598,70719,1121-25-1,,
3-hydroxy-3-methylglutarate,3088,Lipid,Mevalonate Metabolism,531,LC/MS Polar,112,2850,161.0456,1662,503-49-1,C03761,HMDB00355
3-hydroxybenzoate,4382,Xenobiotics,Benzoate Metabolism,15673,LC/MS Polar,100000013,1180,137.0244,7420,99-06-9,C00587,HMDB02466
3-hydroxybutyrate (BHBA),1878,Lipid,Ketone Bodies,542,LC/MS Polar,254,1480,103.0401,441,625-72-9,C01089,HMDB00357
3-hydroxybutyroylglycine,1777,Lipid,Fatty Acid Metabolism (Acyl Glycine),62064,LC/MS Neg,100020211,889,160.0615,,,,
3-hydroxycinnamate,4702,Xenobiotics,Food Component/Plant,20698,LC/MS Neg,100000842,1960,163.0401,637541,588-30-7;14755-02-3,C12621,HMDB01713
3-hydroxydecanoate,1922,Lipid,"Fatty Acid, Monohydroxy",22053,LC/MS Neg,100000997,4634.7,187.134,26612,5561-87-5,,HMDB02203
3-hydroxydecanoylcarnitine,1867,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",63358,LC/MS Pos Late,100021141,961,332.2432,,,,HMDB61636
3-hydroxydodecanedioate*,1638,Lipid,"Fatty Acid, Dicarboxylate",62915,LC/MS Neg,100001454,2252,245.1394,16663321,34574-69-1,,HMDB00413
3-hydroxyhexanoate,1919,Lipid,"Fatty Acid, Monohydroxy",53230,LC/MS Neg,100006367,1725,131.0714,151492,10191-24-9,,
3-hydroxyhexanoylcarnitine (1),1860,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",62557,LC/MS Pos Early,100020825,2918,276.1806,,,,
3-hydroxyhippurate,4363,Xenobiotics,Benzoate Metabolism,39600,LC/MS Neg,100002122,1687,194.0459,450268,1637-75-8,,HMDB06116
3-hydroxyisobutyrate,396,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,LC/MS Polar,111,1619,103.0401,87,2068-83-9,C06001,HMDB00336
3-hydroxyisonicotinic acid,5581,Xenobiotics,Drug - Neurological,63163,LC/MS Polar,100021281,891,138.0197,459503,10128-71-9,,
3-hydroxylaurate,1925,Lipid,"Fatty Acid, Monohydroxy",32457,LC/MS Neg,100001112,5175,215.1653,94216,53941-38-1,,HMDB00387
3-hydroxymargarate,1928,Lipid,"Fatty Acid, Monohydroxy",63671,LC/MS Neg,100021375,5577,285.2435,93220,40165-89-7,,
3-hydroxymargaroylglycine,1778,Lipid,Fatty Acid Metabolism (Acyl Glycine),63670,LC/MS Neg,100021376,5555,342.265,10545348,,,
3-hydroxymyristate,1926,Lipid,"Fatty Acid, Monohydroxy",21158,LC/MS Neg,100000882,5335,243.1966,16064,3422-31-9,,
3-hydroxyoctanoate,1920,Lipid,"Fatty Acid, Monohydroxy",22001,LC/MS Neg,100000773,3446,159.1027,26613,88930-08-9,,HMDB01954
3-hydroxyoctanoylglycine,1765,Lipid,Fatty Acid Metabolism (Acyl Glycine),64388,LC/MS Neg,100020633,3471,216.1241,,,,
3-hydroxyoleate*,1930,Lipid,"Fatty Acid, Monohydroxy",61843,LC/MS Neg,100019966,5508,297.2435,,,,
3-hydroxyoleoylcarnitine,1869,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61840,LC/MS Pos Late,100019801,1406,442.3527,,,,
3-hydroxypalmitate,1927,Lipid,"Fatty Acid, Monohydroxy",27503,LC/MS Neg,100000983,5476,271.2279,301590,928-17-6,,HMDB10734
3-hydroxypalmitoylcarnitine,1868,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61839,LC/MS Pos Late,100019800,1380,416.3371,,,,
3-hydroxyphenylacetate,155,Amino Acid,Phenylalanine Metabolism,1413,LC/MS Polar,114,1220,151.0401,12122,621-37-4,C05593,HMDB00440
3-hydroxyquinine,5316,Xenobiotics,Drug - Antibiotic,43496,LC/MS Pos Early,100002410,3271,341.186,441264,78549-61-8,C07344,HMDB01091
3-hydroxysebacate,1924,Lipid,"Fatty Acid, Monohydroxy",31943,LC/MS Polar,100001145,2411,217.1081,3017884,73141-46-5,,HMDB00350
3-hydroxystachydrine*,4926,Xenobiotics,Food Component/Plant,62062,LC/MS Pos Early,100020203,1049,160.0968,442640,,,
3-hydroxystearate,1929,Lipid,"Fatty Acid, Monohydroxy",52938,LC/MS Neg,100008933,5674,299.2592,5282907,45261-96-9,,
3-hydroxysuberate,1921,Lipid,"Fatty Acid, Monohydroxy",31936,LC/MS Neg,100001143,644,189.0768,22328017,73141-47-6,,HMDB00325
3-hydroxytridecanoate,1923,Lipid,"Fatty Acid, Monohydroxy",63858,LC/MS Neg,100021388,5259,229.1809,5312749,32602-69-0,,HMDB61655
3-indoleglyoxylic acid,5065,Xenobiotics,Food Component/Plant,63583,LC/MS Neg,100020372,2140,188.0353,73863,1477-49-2,,
3-indoxyl sulfate,303,Amino Acid,Tryptophan Metabolism,27672,LC/MS Neg,100000467,2222.2,212.0023,10258,2642-37-7,,HMDB00682
3-ketosphinganine,2913,Lipid,Sphingolipid Synthesis,34381,LC/MS Pos Late,100001436,1400,300.2897,631,18944-28-0,C02934,HMDB01480
3-methoxycatechol sulfate (1),4430,Xenobiotics,Benzoate Metabolism,48763,LC/MS Neg,100006375,2163,218.9969,,,,
3-methyl catechol sulfate (1),4395,Xenobiotics,Benzoate Metabolism,46165,LC/MS Neg,100004112,2790,203.002,,,,
3-methyl-2-oxobutyrate,391,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Neg,100000936,1465,115.0401,49,3715-29-5,C00141,HMDB00019
3-methyl-2-oxovalerate,366,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2064.2,129.0557,47,1460-34-0;51829-07-3,C00671,HMDB03736
3-methyladipate,1620,Lipid,"Fatty Acid, Dicarboxylate",36749,LC/MS Polar,100001765,2865,159.0663,12292,422955,,HMDB00555
3-methylglutaconate,341,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57747,LC/MS Polar,100002458,2700,99.0452,1551553,5746-90-7,,HMDB00522
3-methylglutarate/2-methylglutarate,1613,Lipid,"Fatty Acid, Dicarboxylate",54676,LC/MS Polar,100010834,2832,145.0506,,,,
3-methylglutarylcarnitine (2),349,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46548,LC/MS Pos Early,100005850,2687,290.1598,128145,,,HMDB00552
3-methylhistidine,70,Amino Acid,Histidine Metabolism,15677,LC/MS Pos Early,100000042,2670,170.0924,64969,368-16-1,C01152,HMDB00479
3-methylurate*,4494,Xenobiotics,Xanthine Metabolism,48252,LC/MS Neg,100004049,1024,181.0367,11804,605-99-2,,
3-methylxanthine,4490,Xenobiotics,Xanthine Metabolism,32445,LC/MS Neg,100001108,1700,165.0418,70639,1076-22-8,C16357,HMDB01886
3-phenylpropionate (hydrocinnamate),4463,Xenobiotics,Benzoate Metabolism,15749,LC/MS Neg,100000010,2860,149.0608,107,501-52-0,C05629,HMDB00764
3-S-cysteinyl-2-methylpropanoate*,5964,Xenobiotics,Chemical,62310,LC/MS Pos Early,100020488,2344,208.0638,,,,HMDB30411
3-sulfo-L-alanine,449,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",47089,LC/MS Pos Early,382,570,170.0118,72886,498-40-8,C00506,HMDB02757
3-ureidoisobutyrate,4143,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57549,LC/MS Pos Early,100001531,1207,147.0764,160663,2905-86-4,C05100,HMDB02031
3-ureidopropionate,4144,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Pos Early,1053,875,133.0608,111,462-88-4,C02642,HMDB00026
3b-hydroxy-5-cholenoic acid,3446,Lipid,Secondary Bile Acid Metabolism,43507,LC/MS Neg,100004182,5205,373.2748,92997,5255-17-4,,HMDB00308
3beta-hydroxy-5-cholestenoate,3120,Lipid,Sterol,54805,LC/MS Neg,100006370,5398,415.3218,165511,6561-58-6,C17333,
4-acetamidobenzoate,5960,Xenobiotics,Chemical,57585,LC/MS Neg,100009413,1403,178.051,19266,556-08-1,D03836,
4-acetamidobutanoate,528,Amino Acid,Polyamine Metabolism,1558,LC/MS Pos Early,1113,1350,146.0812,18189,3025-96-5,C02946,HMDB03681
4-acetamidophenol,5183,Xenobiotics,"Drug - Analgesics, Anesthetics",12032,LC/MS Neg,1383,2173.7,150.0561,1983,103-90-2,C06804,HMDB01859
4-acetamidophenylglucuronide,5186,Xenobiotics,"Drug - Analgesics, Anesthetics",15736,LC/MS Neg,100000043,1400,326.0881,83944,120595-80-4,,HMDB10316
4-acetaminophen sulfate,5185,Xenobiotics,"Drug - Analgesics, Anesthetics",37475,LC/MS Neg,2049,1792,230.0129,83939,10066-90-7;32113-41-0,C06804,HMDB59911
4-acetylcatechol sulfate (1),4678,Xenobiotics,Food Component/Plant,62798,LC/MS Neg,100020853,1774,230.9969,,,,
4-allylcatechol sulfate,4399,Xenobiotics,Benzoate Metabolism,63597,LC/MS Neg,100020578,3571,229.0176,,,,
4-aminophenol sulfate (1),5196,Xenobiotics,"Drug - Analgesics, Anesthetics",54808,LC/MS Neg,100010870,826,188.0023,,,,
4-aminophenol sulfate (2),5197,Xenobiotics,"Drug - Analgesics, Anesthetics",54809,LC/MS Neg,100010871,1168,188.0023,,,,
4-chlorobenzoic acid,5988,Xenobiotics,Chemical,63988,LC/MS Neg,100021784,3015,154.9905,,74-11-3,,
4-cholesten-3-one,3130,Lipid,Sterol,38125,LC/MS Pos Late,100002227,2520,385.3465,91477,601-57-0,C00599,HMDB00921
4-ethylcatechol sulfate,4397,Xenobiotics,Benzoate Metabolism,63072,LC/MS Neg,100020536,3379,217.0176,,,,
4-ethylphenyl sulfate,4412,Xenobiotics,Benzoate Metabolism,36099,LC/MS Neg,100001756,3580,201.0227,20822574,123-07-9,C13637,HMDB62551
4-guanidinobutanoate,531,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos Early,100000096,2320,146.0924,500,463-003;463-00-3,C01035,HMDB03464
4-hydroxybenzoate,4381,Xenobiotics,Benzoate Metabolism,21133,LC/MS Neg,100000862,820,137.0244,135,99-96-7,C00156,HMDB00500
4-hydroxybutyrate (GHB),1897,Lipid,"Fatty Acid, Monohydroxy",34585,LC/MS Polar,100001507,1765,103.0401,10413,502-85-2,C00989,HMDB00710
4-hydroxycinnamate,5033,Xenobiotics,Food Component/Plant,36770,LC/MS Polar,100001675,1200,163.0401,637542,501-98-4,C00811,HMDB02035
4-hydroxycinnamate sulfate,224,Amino Acid,Tyrosine Metabolism,48410,LC/MS Neg,100006095,1000,242.9969,6070438,376374-66-2,,
4-hydroxycyclohexylcarboxylic acid,4664,Xenobiotics,Food Component/Plant,43516,LC/MS Pos Early,100004250,2005,127.0754,151138,17419-81-7,C04404,HMDB01988
4-hydroxyglutamate,49,Amino Acid,Glutamate Metabolism,40499,LC/MS Pos Early,100002544,1141,164.0554,439902,2485-33-8,C03079,HMDB01344
4-hydroxyhippurate,4365,Xenobiotics,Benzoate Metabolism,35527,LC/MS Neg,100001423,1475,194.0459,151012,2482-25-9,,HMDB13678
4-hydroxyphenylacetate,156,Amino Acid,Phenylalanine Metabolism,541,LC/MS Neg,144,1361,151.0401,127,156-38-7,C00642,HMDB00020
4-hydroxyphenylacetate sulfate,226,Amino Acid,Tyrosine Metabolism,53027,LC/MS Neg,100006633,867,230.9969,,,,
4-hydroxyphenylacetylglutamine,1147,Peptide,Acetylated Peptides,55017,LC/MS Neg,100010850,1650,279.0986,,,,
4-hydroxyphenylpyruvate,170,Amino Acid,Tyrosine Metabolism,1669,LC/MS Neg,1141,1690,179.035,979,156-39-8,C01179,HMDB00707
4-imidazoleacetate,94,Amino Acid,Histidine Metabolism,32349,LC/MS Pos Early,100001207,2055,127.0502,96215,645-65-8,C02835,HMDB02024
4-methyl-2-oxopentanoate,318,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2170,129.0557,70,816-66-0,C00233,HMDB00695
4-methylcatechol sulfate,4398,Xenobiotics,Benzoate Metabolism,46146,LC/MS Neg,100004111,2665,203.002,,,,
4-methylguaiacol sulfate,4393,Xenobiotics,Benzoate Metabolism,48418,LC/MS Neg,100006105,2978,217.0176,,756760-43-7,,
4-methylhexanoylglutamine,1733,Lipid,Fatty Acid Metabolism (Acyl Glutamine),62735,LC/MS Neg,100020631,3390,257.1507,,,,
4-methylhexanoylglycine,1756,Lipid,Fatty Acid Metabolism (Acyl Glycine),62736,LC/MS Neg,100020632,3550,186.1136,,,,
4-methylthio-2-oxobutanoate,410,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",40732,LC/MS Neg,100003712,1635,147.0121,473,583-92-6,C01180,HMDB01553
4-ureidobutyrate,4142,Nucleotide,"Pyrimidine Metabolism, Uracil containing",22118,LC/MS Polar,100000718,2217.5,145.0619,1571307,259232,,
4-vinylphenol sulfate,4414,Xenobiotics,Benzoate Metabolism,36098,LC/MS Neg,100001755,3320,199.0071,6426766,2628-17-3,C05627,HMDB62775
"5,6-dihydrothymine",4181,Nucleotide,"Pyrimidine Metabolism, Thymine containing",1418,LC/MS Pos Early,158,1280,129.0659,93556,696-04-8,C00906,HMDB00079
"5,6-dihydrouracil",4137,Nucleotide,"Pyrimidine Metabolism, Uracil containing",1559,LC/MS Neg,1125,1120,113.0357,649,504-07-4,C00429,HMDB00076
"5,6-dihydrouridine",4128,Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119,245.0779,94312,1361384,,
5-(2-Hydroxyethyl)-4-methylthiazole,4319,Cofactors and Vitamins,Thiamine Metabolism,27673,LC/MS Pos Early,100000098,2310,144.0478,1136,137-00-8,C04294,
5-(galactosylhydroxy)-L-lysine,117,Amino Acid,Lysine Metabolism,43582,LC/MS Pos Early,100002462,2755,325.1606,123986,32448-36-5,,
5-acetylamino-6-amino-3-methyluracil,4492,Xenobiotics,Xanthine Metabolism,34424,LC/MS Polar,100001403,1710,197.068,88299,1196153-01-1,C16366,HMDB04400
5-acetylamino-6-formylamino-3-methyluracil,4493,Xenobiotics,Xanthine Metabolism,34401,LC/MS Polar,100001402,1424,225.0629,108214,85438-96-6,C16365,HMDB11105
5-aminovalerate,133,Amino Acid,Lysine Metabolism,18319,LC/MS Pos Early,100000454,2220,118.0863,138,660-88-8,C00431,HMDB03355
5-dodecenoate (12:1n7),1455,Lipid,Medium Chain Fatty Acid,33968,LC/MS Neg,100001232,5224,197.1547,5312378,2430-94-6,,HMDB00529
5-dodecenoylcarnitine (C12:1),1824,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",61769,LC/MS Pos Late,100016069,1135,342.2639,,,,HMDB13326
5-HETE,2066,Lipid,Eicosanoid,37372,LC/MS Neg,100002137,5382,319.2279,5280733,73307-52-5,C04805,HMDB11134
5-hydroxyhexanoate,1935,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1267,131.0714,170748,44843-89-2,,HMDB00525
5-hydroxylysine,116,Amino Acid,Lysine Metabolism,15685,LC/MS Pos Early,100000054,2790,163.1077,1029,13204-98-3,C16741,HMDB00450
5-hydroxymethylfurfural,4669,Xenobiotics,Food Component/Plant,37429,LC/MS Pos Early,100002057,1542,127.039,237332,67-47-0,C11101,HMDB34355
5-hydroxypicolinic acid,274,Amino Acid,Tryptophan Metabolism,63160,LC/MS Neg,100021277,709,138.0197,268740,125653-67-0,,
5-methylcytosine,4162,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",21106,LC/MS Pos Early,1049,2195,126.0662,65040,58366-64-6,C02376,HMDB02894
