,inchikey,hmdb,kegg,inchi code
n-Hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,HMDB0029600,C11271,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
"Ethanol, 2-ethoxy-",ZNQVEEAIQZEUHB-UHFFFAOYSA-N,HMDB0031213,C14687,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3"
"Butanal, 2-methyl-",BYGQBDHUGHBGMD-UHFFFAOYSA-N,HMDB0031526,C02223,"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3"
1-Nonanol,ZWRUINPWMLAQRD-UHFFFAOYSA-N,HMDB0031265,C14696,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3"
Phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,HMDB0000228,C15584,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
"3-Pentanone, 2-methyl-",HYTRYEXINDDXJK-UHFFFAOYSA-N,HMDB0005846,,"InChI=1S/C6H12O/c1-4-6(7)5(2)3/h5H,4H2,1-3H3"
4-Hydroxy-3-hexanone,SKCYVGUCBRYGTE-UHFFFAOYSA-N,,C02948,"InChI=1S/C6H12O2/c1-3-5(7)6(8)4-2/h5,7H,3-4H2,1-2H3"
"Butanal, 3-methyl-",YGHRJJRRZDOVPD-UHFFFAOYSA-N,HMDB0006478,C07329,"InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3"
Phenylacetaldehyde,DTUQWGWMVIHBKE-UHFFFAOYSA-N,HMDB0006236,C00601,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2"
"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",GRWFGVWFFZKLTI-RKDXNWHRSA-N,HMDB0006525,C06306,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1"
"Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]-",PHWISBHSBNDZDX-LSDHHAIUSA-N,HMDB0036163,C16776,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3/t14-,15+/m0/s1"
Benzyl methyl ketone,QCCDLTOVEPVEJK-UHFFFAOYSA-N,,C15512,"InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3"
"Ethanone, 1-(2-aminophenyl)-",GTDQGKWDWVUKTI-UHFFFAOYSA-N,HMDB0032630,,"InChI=1S/C8H9NO/c1-6(10)7-4-2-3-5-8(7)9/h2-5H,9H2,1H3"
"Methylamine, N,N-dimethyl-",GETQZCLCWQTVFV-UHFFFAOYSA-N,HMDB0000906,C00565,InChI=1S/C3H9N/c1-4(2)3/h1-3H3
Heptanal,FXHGMKSSBGDXIY-UHFFFAOYSA-N,HMDB0031475,C14390,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3"
2-Oxohexane,QQZOPKMRPOGIEB-UHFFFAOYSA-N,HMDB0005842,,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
Benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,HMDB0001505,C01407,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
Hordenine,KUBCEEMXQZUPDQ-UHFFFAOYSA-N,HMDB0004366,C06199,"InChI=1S/C10H15NO/c1-11(2)8-7-9-3-5-10(12)6-4-9/h3-6,12H,7-8H2,1-2H3"
Isopentanol,PHTQWCKDNZKARW-UHFFFAOYSA-N,HMDB0006007,C07328,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3"
