Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
C8p_QI158__NH4_C50:1 TAG,850.7855,C8-pos,True,,,,,
C8p_QI136__C46:0 TAG,801.694,C8-pos,False,TG(16:0/14:0/16:0),HMDB0010411,,,
HILp_QI3588__NMMA,189.1348,HILIC-pos,True,L-Targinine,HMDB0029416,C03884,NTNWOCRCBQPEKQ-YFKPBYRVSA-N,11100000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000110000100000000010110000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000010000000010000001100010000000000000000000100000100000000000010010000000001000100000000000000001000100000000000000000001000001000000000010000000000000000000000000100110000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1038__N-methylproline,130.0868,HILIC-pos,True,,,,,
HILp_QI1169__ornithine,133.0977,HILIC-pos,True,Ornithine,HMDB0000214,C00077,AHLPHDHHMVZTML-BYPYZUCNSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI133__NH4_C46:2 TAG,792.7074,C8-pos,True,,,,,
"HILp_TF50__N1,N12-diacetylspermine",287.2445,HILIC-pos,False,"N1,N12-Diacetylspermine",HMDB0002172,C03413,NPDTUDWGJMBVEP-UHFFFAOYSA-N,11100000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000100000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000001100000000000000000001000000000000000000000000000001011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI65__guanine,150.0422,HILIC-neg,True,Guanine,HMDB0000132,C00242,UYTPUPDQBNUYGX-UHFFFAOYSA-N,10000000011000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001011011000000010110110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010000000000010000000000000000010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI179__NH4_C52:2 TAG,876.8009,C8-pos,True,,,,,
C8p_QI156__NH4_C50:2 TAG,848.7695,C8-pos,True,,,,,
HILn_QI69__homovanillate,181.0508,HILIC-neg,True,Homovanillic acid,HMDB0000118,C05582,QRMZSPFSDQBLIX-UHFFFAOYSA-N,11000000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000010001100100000111010000000000000000000011000000000100010000000001000100000110100100000100000000000000000100000100000000000001000000010000000000000000010001000100000000001000001101000100010001000000011010010011000110010100001100011010100011010100000000111000000100011001001001100000000010001000010111011100000000111100010001110110010111100110011100010000000000000000000010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000
C18n_QI44__13-docosenoate,337.3115,C18-neg,True,Erucic acid,HMDB0002068,C08316,DPUOLQHDNGRHBS-KTKRTIGZSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI47__masilinate,471.3481,C18-neg,True,Maslinic acid,HMDB0002392,C16939,MDZKJHQSJHYOHJ-LLICELPBSA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000011000001100000100000000000000000000000000000000000000000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000100010000000001000100000110100100000100000000000000000000000000000000000001000000000000000000000000000000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010010000000000000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000100000000000000000000000000000000000000000000000000000000
HILp_QI1093__N-acetylputrescine,131.1184,HILIC-pos,True,N-Acetylputrescine,HMDB0002064,C02714,KLZGKIDSEJWEDW-UHFFFAOYSA-N,11000000011000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000100000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000001011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI06__12.13-diHOME,313.2387,C18-neg,True,"12,13-DHOME",HMDB0004705,C14829,CQSLTKIXAJTQGA-FLIBITNWSA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000000100000000000000000001001100000000000000000010010000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI35__arachidonate,303.2333,C18-neg,True,Arachidonic acid,HMDB0001043,C00219,YZXBAPSDXZZRGB-DOFZRALJSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI78__lactose,341.1095,HILIC-neg,True,Alpha-Lactose,HMDB0000186,C00243,GUBGYTABKSRVRQ-QKKXKWKRSA-N,11100000011100000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101100001000000000000011000000000000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000001000100100000000000000000001010000000000000000000001110000000000000001110000000110000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI55__C16:0 SM,703.5744,C8-pos,False,SM(d18:1/16:0),HMDB0010169,C00550,,
C18n_QI29__stearate,283.2644,C18-neg,True,Stearic acid,HMDB0000827,C01530,QIQXTHQIDYTFRH-UHFFFAOYSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI13472__C14:0 LPC,468.3091,HILIC-pos,False,LysoPC(14:0),HMDB0010379,C04230,,
C8p_QI11__C22:6 LPC,568.3398,C8-pos,False,"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010404,C04230,,
HILp_QI3770__caffeine,195.0882,HILIC-pos,True,Caffeine,HMDB0001847,C07481,RYYVLZVUVIJVGH-UHFFFAOYSA-N,11000000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011000000000000000000000000001111000000000000000000000000000000000000000000000100000001000000000011001011000000100000001111011000000010111000011000001000000000000101010000000000100000111011100010111010000000000100000001000000000101101000101110001000010100000000000010101000000000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010001000000010000000011100100010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI578__proline,116.0712,HILIC-pos,False,L-Proline,HMDB0000162,C00148,ONIBWKKTOPOVIA-BYPYZUCNSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000010110000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001000000000000100100000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1757__acetylcholine,146.1178,HILIC-pos,True,Acetylcholine chloride,HMDB0000895,C01996,OIPILFWXSMYKGL-UHFFFAOYSA-N,11100000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000111000011000000000000110000000100000100000000011000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI68__azelate,187.0968,C18-neg,False,Azelaic acid,HMDB0000784,C08261,BDJRBEYXGGNYIS-UHFFFAOYSA-N,11100000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI22__acetylalanine,130.0511,HILIC-neg,False,N-Acetyl-L-alanine,HMDB0000766,,,
C8p_QI89__C16:1 MAG,339.2506,C8-pos,False,MG(16:1(9Z)/0:0/0:0),HMDB0011565,,,
HILn_QI53__fructose/glucose/galactose,179.0563,HILIC-neg,False,D-Glucose,HMDB0000122,C00221,WQZGKKKJIJFFOK-VFUOTHLCSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101100001000000000000011000000000000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000000000100100000000000000000001010000000000000000000001110000000000000001110000000110000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI35__C38:2 PC,814.6335,C8-pos,False,"PC(20:0/18:2(9Z,12Z))",HMDB0008270,C00157,,
C18n_QI81__crustecdysone,525.3071,C18-neg,True,Crustecdysone,HMDB0030180,C02633,NKDFYOWSKOHCCO-KCJGERRASA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000100000000000000000000000000000000001101000000000000000000000100000000000000000000000111101010100101000001000000000000010000000100000000000000000000000000000001000000000100010000000001010100000010100100000000000000000000000000000000000000000001000000000000000000000000000000000100000000001000000000000000001001000000000010001010000010010000000000000000100000000000000000101000000000000000001001000000000000000000010010001000100000011110010101110110011110100110011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000100000000000000110000000000000000000110000000000000000000
C8p_QI48__linoleoylethanolamide,324.2895,C8-pos,False,Linoleoyl ethanolamide,HMDB0012252,,,
HILn_QI17__4-nitrophenol,138.0197,HILIC-neg,True,4-Nitrophenol,HMDB0001232,C00870,BTJIUGUIPKRLHP-UHFFFAOYSA-N,10000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000001000000100000000000000000000000100000001100100000011001000000000000001100001100011010000000000100000100001000000000100000010000000000100100010000100100001100000000100000100000000000000000001000000010001000000000001010001000100000000000000001100110110010001010000010000010011000100010100000101001000110010011100000000111000000000000011001001100000000010001000010001101100000000111101100000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI119__tetrahydro-1-methyl-beta-carboline-3-carboxylate,229.0984,HILIC-neg,True,"(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",HMDB0037942,,,
HILn_QI97__phenylacetate,135.0453,HILIC-neg,True,Phenylacetic acid,HMDB0000209,C07086,WLJVXDMOQOGPHL-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000000100000001001100000000000001100000000100010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100000000001000000000000000010001000000010000010000000110010100000000001010100010000100000000110000000000000001001001100000000000001000010001000100000000111100010001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI3__2-aminobutyrate,102.0561,HILIC-neg,True,L-Alpha-aminobutyric acid,HMDB0000452,C02356,QWCKQJZIFLGMSD-VKHMYHEASA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010000000000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI18__C20:0 LPE,510.3556,C8-pos,True,LysoPE(20:0/0:0),HMDB0011511,,,
C8p_QI202__NH4_C56:6 TAG,924.8009,C8-pos,True,,,,,
C8p_QI04__C16:0 LPC,496.3397,C8-pos,False,LysoPC(16:0),HMDB0010382,C04230,,
HILp_QI16955__C20:1 LPC,550.3876,HILIC-pos,False,LysoPC(20:1(11Z)),HMDB0010391,C04230,,
C8p_QI152__NH4_C50:4 TAG,844.7389,C8-pos,True,,,,,
HILn_QI121__thymine,125.0357,HILIC-neg,True,Thymine,HMDB0000262,C00178,RWQNBRDOKXIBIV-UHFFFAOYSA-N,10000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000110000000000110000011000000000000100000000110000000000000010110000000000000000000000100010000000001000000001010101100101000000000000100000000000000000000000000000000000000000000000000000000000000010000001000010000000000001000000100000000000000000000000000000000000000100000000000001000000000000000000000010000000011100100010000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI127__C44:0 TAG,773.663,C8-pos,False,TG(14:0/14:0/16:0),HMDB0042063,,,
C8p_QI132__C46:2 TAG,797.6629,C8-pos,False,TG(16:1(9Z)/14:0/16:1(9Z)),HMDB0010419,,,
HILp_TF32__C18:3 LPC,518.3239,HILIC-pos,False,"LysoPC(18:3(6Z,9Z,12Z))",HMDB0010387,C04230,,
C18n_QI12__3-hydroxyoctanoate,159.1016,C18-neg,True,3-Hydroxyoctanoic acid,HMDB0001954,,,
C18n_QI62__taurodeoxycholate,498.29,C18-neg,True,Taurodeoxycholic acid,HMDB0000896,C05463,AWDRATDZQPNJFN-GHMNEPPTSA-N,11110000011110100011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000100000100000000100000000000000000000000111100010100111001011100000000000110100000100000000000000010110000000000001010000010000010000000000000000001000100000001000001110000010000000000000000000000000000000000000000000000000000000000000010000001000010000000000000000000000000000001000000010010000000001000000000000000000001000100000000000000000001000001011000000000100000000000000000000001100110001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
C8p_QI195__C54:2 TAG,909.7875,C8-pos,False,TG(18:0/18:1(9Z)/18:1(9Z)),HMDB0005403,C00422,,
HILp_QI2638__3-methylxanthine,167.0567,HILIC-pos,True,3-Methylxanthine,HMDB0001886,C16357,GMSNIKWWOQHZGF-UHFFFAOYSA-N,10000000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001111011000000010111110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010001000000010000000011100100010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI19__hydroxymyristate,243.1964,C18-neg,True,2-Hydroxymyristic acid,HMDB0002261,,,
C8p_QI211__C58:10 TAG,949.7261,C8-pos,False,"TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0005476,C00422,,
C8p_QI208__NH4_C56:2 TAG,932.8638,C8-pos,True,,,,,
HILn_QI32__aspartate,132.0303,HILIC-neg,False,L-Aspartic acid,HMDB0000191,C00049,CKLJMWTZIZZHCS-REOHCLBHSA-N,10000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000011000000000000000000000000000000000000100000000000000000001100001000000000000000000000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI84__C22:5 CE,721.5886,C8-pos,False,"CE(22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0010375,C04230,,
HILp_TF21__alpha-hydroxymetoprolol,284.1861,HILIC-pos,True,,,,,
C8p_QI155__C50:2 TAG,853.7251,C8-pos,False,TG(16:0/16:1(9Z)/18:1(9Z)),HMDB0005377,C00422,,
HILp_TF47__homoarginine,189.135,HILIC-pos,False,Homo-L-arginine,HMDB0000670,C01924,QUOGESRFPZDMMT-YFKPBYRVSA-N,11100000011000111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001100110000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI30__trimethylamine-N-oxide,76.0765,HILIC-pos,True,Trimethylamine N-oxide,HMDB0000925,C01104,UYPYRKYUKCHHIB-UHFFFAOYSA-N,11000000010000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000001000000000000000000000000000000000000000000000000000000000000000100000000100000000000000011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI2466__carnitine,162.1128,HILIC-pos,True,L-Carnitine,HMDB0000062,C00318,PHIQHXFUZVPYII-ZCFIWIBFSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000100000010100111000011000000000000110000000100000100000000011000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000100001000000010100000000001000000000000000000001000100000000000000000001010010000000000000000100000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI28__C36:4 PC-B,782.5677,C8-pos,False,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",HMDB0008138,C00157,,
HILp_QI2602__1-methylguanine,166.0728,HILIC-pos,True,1-Methylguanine,HMDB0003282,C04152,,
HILn_QI47__dihydroorotate,157.0256,HILIC-neg,True,L-Dihydroorotic acid,HMDB0003349,C00337,UFIVEPVSAGBUSI-REOHCLBHSA-N,10000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000100000100000000000011000000000001100000000100000000001000100000000000000000011000001011100100010000100000000000000000000001001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI9__3-hydroxymethylglutarate,161.0457,HILIC-neg,True,3-Hydroxymethylglutaric acid,HMDB0000355,C03761,NPOAOTPXWNWTSH-UHFFFAOYSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110001000100100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010110000000000000000000000000000000000100000000000000000001010010000000000000000000000000000000000000100010000010011000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI29__glycine,76.0402,HILIC-pos,True,Glycine,HMDB0000123,C00037,DHMQDGOQFOQNFH-UHFFFAOYSA-N,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI54__fucose,163.0614,HILIC-neg,True,L-Fucose,HMDB0000174,C01019,SHZGCJCMOBCMKK-DHVFOXMCSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101100001000000000000011000000100000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000000000100100000000000000000001010000000000000000000001110000000000000001110000000110000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
