,inchikey,hmdb,kegg,inchi code
C02567_N1-Acetylspermine,GUNURVWAJRRUAV-UHFFFAOYSA-N,HMDB0001186,C02567,"InChI=1S/C12H28N4O/c1-12(17)16-11-5-10-15-8-3-2-7-14-9-4-6-13/h14-15H,2-11,13H2,1H3,(H,16,17)"
C02721_N-Methylalanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,HMDB0094692,C02721,"InChI=1S/C4H9NO2/c1-3(5-2)4(6)7/h3,5H,1-2H3,(H,6,7)/t3-/m0/s1"
C00334_GABA,BTCSSZJGUNDROE-UHFFFAOYSA-N,HMDB0000112,C00334,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)"
C00041_Ala,QNAYBMKLOCPYGJ-REOHCLBHSA-N,HMDB0000161,C00041,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1"
C00188_Thr,AYFVYJQAPQTCCC-GBXIJSLDSA-N,HMDB0000167,C00188,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1"
C06423_Octanoate,WWZKQHOCKIZLMA-UHFFFAOYSA-N,HMDB0000482,C06423,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)"
C02630_2-Hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HMDB0059655,C02630,"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)"
C00571_Cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,HMDB0031404,C00571,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2"
C00191_Glucuronate,AEMOLEFTQBMNLQ-AQKNRBDQSA-N,HMDB0000127,C00191,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1"
C02727_N-epsilon-Acetyllysine,DTERQYGMUDWYAZ-ZETCQYMHSA-N,HMDB0000206,C02727,"InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1"
C03139_Guanidinosuccinate,VVHOUVWJCQOYGG-REOHCLBHSA-N,HMDB0003157,C03139,"InChI=1S/C5H9N3O4/c6-5(7)8-2(4(11)12)1-3(9)10/h2H,1H2,(H,9,10)(H,11,12)(H4,6,7,8)/t2-/m0/s1"
C03172_S-Methylmethionine,YDBYJHTYSHBBAU-YFKPBYRVSA-O,HMDB0038670,C03172,"InChI=1S/C6H13NO2S/c1-10(2)4-3-5(7)6(8)9/h5H,3-4,7H2,1-2H3/p+1/t5-/m0/s1"
C01234_1-Aminocyclopropane-1-carboxylate,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,HMDB0036458,C01234,"InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)"
C00383_Malonate,OFOBLEOULBTSOW-UHFFFAOYSA-N,,C00383,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)"
C00019_SAM+,MEFKEPWMEQBLKI-AIRLBKTGSA-N,HMDB0001185,C00019,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)/t7-,8+,10+,11+,14+,27?/m0/s1"
C00408_Pipecolate,HXEACLLIILLPRG-YFKPBYRVSA-N,HMDB0000070,C00408,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1"
C01089_3-Hydroxybutyrate,WHBMMWSBFZVSSR-GSVOUGTGSA-N,HMDB0000357,C01089,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m1/s1"
C00803_Pentanoate,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,HMDB0000892,C00803,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)"
C02571_o-Acetylcarnitine,RDHQFKQIGNGIED-MRVPVSSYSA-O,HMDB0000201,C02571,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1"
C06103_6-Hydroxyhexanoate,IWHLYPDWHHPVAA-UHFFFAOYSA-N,HMDB0012843,C06103,"InChI=1S/C6H12O3/c7-5-3-1-2-4-6(8)9/h7H,1-5H2,(H,8,9)"
C08277_Sebacate,CXMXRPHRNRROMY-UHFFFAOYSA-N,HMDB0000792,C08277,"InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)"
C00327_Citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,HMDB0000904,C00327,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1"
C05660_5-Methoxyindoleacetate,COCNDHOPIHDTHK-UHFFFAOYSA-N,HMDB0004096,C05660,"InChI=1S/C11H11NO3/c1-15-8-2-3-10-9(5-8)7(6-12-10)4-11(13)14/h2-3,5-6,12H,4H2,1H3,(H,13,14)"
C00437_N-Acetylornithine,JRLGPAXAGHMNOL-LURJTMIESA-N,HMDB0003357,C00437,"InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1"
C00079_Phe,COLNVLDHVKWLRT-QMMMGPOBSA-N,HMDB0000159,C00079,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1"
C00214_Thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,HMDB0000273,C00214,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1"
C01262_Anserine,MYYIAHXIVFADCU-QMMMGPOBSA-N,HMDB0000194,C01262,"InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1"
C01601_Pelargonate,FBUKVWPVBMHYJY-UHFFFAOYSA-N,HMDB0000847,C01601,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)"
C00423_trans-Cinnamate,WBYWAXJHAXSJNI-VOTSOKGWSA-N,,C00423,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+"
-_2-Hydroxyisobutyrate,BWLBGMIXKSTLSX-UHFFFAOYSA-N,HMDB0000729,,"InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)"
C03626_ADMA,YDGMGEXADBMOMJ-LURJTMIESA-N,HMDB0001539,C03626,"InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1"
C00378_Thiamine,JZRWCGZRTZMZEH-UHFFFAOYSA-N,HMDB0000235,C00378,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1"
C00637_Indole-3-acetaldehyde,WHOOUMGHGSPMGR-UHFFFAOYSA-N,HMDB0001190,C00637,"InChI=1S/C10H9NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11H,5H2"
C02678_Dodecanedioate,TVIDDXQYHWJXFK-UHFFFAOYSA-N,HMDB0000623,C02678,"InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)"
C02693_Indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,HMDB0029739,C02693,"InChI=1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H2,11,13)"
C02226_Citraconate,HNEGQIOMVPPMNR-IHWYPQMZSA-N,HMDB0000634,C02226,"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2-"
C00043_UDP-N-acetylglucosamine,LFTYTUAZOPRMMI-CFRASDGPSA-N,HMDB0000290,C00043,"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1"
"-_N1,N8-Diacetylspermidine",BKCVMAZDKFQPHB-UHFFFAOYSA-N,HMDB0041947,,"InChI=1S/C11H23N3O2/c1-10(15)13-8-4-3-6-12-7-5-9-14-11(2)16/h12H,3-9H2,1-2H3,(H,13,15)(H,14,16)"
C00245_Taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,HMDB0000251,C00245,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)"
C01551_Allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,HMDB0000462,C01551,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)"
C00179_Agmatine,QYPPJABKJHAVHS-UHFFFAOYSA-N,HMDB0001432,C00179,"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)"
C02378_6-Aminohexanoate,SLXKOJJOQWFEFD-UHFFFAOYSA-N,HMDB0001901,C02378,"InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)"
C03761_3-Hydroxy-3-methylglutarate,NPOAOTPXWNWTSH-UHFFFAOYSA-N,HMDB0000355,C03761,"InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)"
C05123_Isethionate,SUMDYPCJJOFFON-UHFFFAOYSA-N,HMDB0003903,C05123,"InChI=1S/C2H6O4S/c3-1-2-7(4,5)6/h3H,1-2H2,(H,4,5,6)"
C00785_Urocanate,LOIYMIARKYCTBW-OWOJBTEDSA-N,HMDB0000301,C00785,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+"
C00711_Malate,BJEPYKJPYRNKOW-UHFFFAOYSA-N,HMDB0000156,C00711,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"
C01672_Cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,HMDB0002322,C01672,InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2
C05127_1-Methylhistamine,FHQDWPCFSJMNCT-UHFFFAOYSA-N,HMDB0000898,C05127,"InChI=1S/C6H11N3/c1-9-4-6(2-3-7)8-5-9/h4-5H,2-3,7H2,1H3"
C01181_gamma-Butyrobetaine,JHPNVNIEXXLNTR-UHFFFAOYSA-O,HMDB0001161,C01181,"InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3/p+1"
C02155_Gly-Leu,DKEXFJVMVGETOO-LURJTMIESA-N,HMDB0000759,C02155,"InChI=1S/C8H16N2O3/c1-5(2)3-6(8(12)13)10-7(11)4-9/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)/t6-/m0/s1"
C00329_Glucosamine,MSWZFWKMSRAUBD-IVMDWMLBSA-N,HMDB0001514,C00329,"InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1"
C00262_Hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,HMDB0000157,C00262,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"
C00082_Tyr,OUYCCCASQSFEME-QMMMGPOBSA-N,HMDB0000158,C00082,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"
C02989_Methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,HMDB0002005,C02989,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10?/m0/s1"
C00065_Ser,MTCFGRXMJLQNBG-REOHCLBHSA-N,HMDB0000187,C00065,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1"
C03570_Mannosamine,MSWZFWKMSRAUBD-CBPJZXOFSA-N,,C03570,"InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3+,4-,5-,6?/m1/s1"
C00438_Carbamoylaspartate,HLKXYZVTANABHZ-REOHCLBHSA-N,HMDB0000828,C00438,"InChI=1S/C5H8N2O5/c6-5(12)7-2(4(10)11)1-3(8)9/h2H,1H2,(H,8,9)(H,10,11)(H3,6,7,12)/t2-/m0/s1"
C00106_Uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,HMDB0000300,C00106,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
"C03283_2,4-Diaminobutyrate",OGNSCSPNOLGXSM-VKHMYHEASA-N,HMDB0002362,C03283,"InChI=1S/C4H10N2O2/c5-2-1-3(6)4(7)8/h3H,1-2,5-6H2,(H,7,8)/t3-/m0/s1"
C00576_Betaine aldehyde,SXKNCCSPZDCRFD-UHFFFAOYSA-N,HMDB0001252,C00576,"InChI=1S/C5H12NO/c1-6(2,3)4-5-7/h5H,4H2,1-3H3/q+1"
C00642_p-Hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N,HMDB0000020,C00642,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)"
C00475_Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,HMDB0000089,C00475,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1"
C02656_Pimelate,WLJVNTCWHIRURA-UHFFFAOYSA-N,HMDB0000857,C02656,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)"
-_N-Acetylvaline,IHYJTAOFMMMOPX-UHFFFAOYSA-N,HMDB0011757,,"InChI=1S/C7H13NO3/c1-4(2)6(7(10)11)8-5(3)9/h4,6H,1-3H3,(H,8,9)(H,10,11)"
C05659_5-Methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,HMDB0004095,C05659,"InChI=1S/C11H14N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11/h2-3,6-7,13H,4-5,12H2,1H3"
C00186_Lactate,JVTAAEKCZFNVCJ-REOHCLBHSA-N,HMDB0000190,C00186,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1"
C00055_CMP,IERHLVCPSMICTF-XVFCMESISA-N,HMDB0000095,C00055,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"
C00029_UDP-glucose,HSCJRCZFDFQWRP-JZMIEXBBSA-N,HMDB0000286,C00029,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14-/m1/s1"
C00135_His,HNDVDQJCIGZPNO-YFKPBYRVSA-N,HMDB0000177,C00135,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1"
-_2-Hydroxypentanoate,JRHWHSJDIILJAT-UHFFFAOYSA-N,HMDB0001863,,"InChI=1S/C5H10O3/c1-2-3-4(6)5(7)8/h4,6H,2-3H2,1H3,(H,7,8)"
C00449_Saccharopine,ZDGJAHTZVHVLOT-YUMQZZPRSA-N,HMDB0000279,C00449,"InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1"
C01008_Trimethylsulfonium,NRZWQKGABZFFKE-UHFFFAOYSA-N,HMDB0012295,C01008,InChI=1S/C3H9S/c1-4(2)3/h1-3H3/q+1
C00482_Sinapate,PCMORTLOPMLEFB-ONEGZZNKSA-N,HMDB0032616,C00482,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+"
"C04259_N-alpha,N-alpha-Dimethylhistidine",IMOBSLOLPCWZKQ-ZETCQYMHSA-N,,C04259,"InChI=1S/C8H13N3O2/c1-11(2)7(8(12)13)3-6-4-9-5-10-6/h4-5,7H,3H2,1-2H3,(H,9,10)(H,12,13)/t7-/m0/s1"
C00020_AMP,UDMBCSSLTHHNCD-KQYNXXCUSA-N,HMDB0000045,C00020,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"
C00123_Leu,ROHFNLRQFUQHCH-YFKPBYRVSA-N,HMDB0000687,C00123,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1"
C01996_Acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,HMDB0000895,C01996,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1"
C05122_Taurocholate,FZLMIZAHBFKTSH-IECFWMJSSA-N,HMDB0000036,C05122,"InChI=1S/C26H45NO8S/c1-15(4-7-23(31)27-10-11-35-36(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24?,25+,26-/m1/s1"
C00233_4-Methyl-2-oxopentanoate,BKAJNAXTPSGJCU-UHFFFAOYSA-N,HMDB0000695,C00233,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)"
C00417_cis-Aconitate,GTZCVFVGUGFEME-IWQZZHSRSA-N,HMDB0000072,C00417,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-"
C09815_Benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,HMDB0004461,C09815,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)"
C01020_6-Hydroxynicotinate,BLHCMGRVFXRYRN-UHFFFAOYSA-N,HMDB0002658,C01020,"InChI=1S/C6H5NO3/c8-5-2-1-4(3-7-5)6(9)10/h1-3H,(H,7,8)(H,9,10)"
C00295_Orotate,PXQPEWDEAKTCGB-UHFFFAOYSA-N,HMDB0000226,C00295,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)"
C00122_Fumarate,VZCYOOQTPOCHFL-OWOJBTEDSA-N,HMDB0000134,C00122,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+"
C00003_NAD+,BAWFJGJZGIEFAR-NNYOXOHSSA-O,HMDB0000902,C00003,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1"
C02504_2-Isopropylmalate,BITYXLXUCSKTJS-ZETCQYMHSA-N,HMDB0000402,C02504,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/t7-/m0/s1"
C00581_Guanidinoacetate,BPMFZUMJYQTVII-UHFFFAOYSA-N,HMDB0000128,C00581,"InChI=1S/C3H7N3O2/c4-3(5)6-1-2(7)8/h1H2,(H,7,8)(H4,4,5,6)"
C00246_Butyrate,FERIUCNNQQJTOY-UHFFFAOYSA-N,HMDB0000039,C00246,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)"
C01073_N-Acetyl-beta-alanine,LJLLAWRMBZNPMO-UHFFFAOYSA-N,HMDB0061880,C01073,"InChI=1S/C5H9NO3/c1-4(7)6-3-2-5(8)9/h2-3H2,1H3,(H,6,7)(H,8,9)"
C04548_Synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,HMDB0004826,C04548,"InChI=1S/C9H13NO2/c1-10-6-9(12)7-2-4-8(11)5-3-7/h2-5,9-12H,6H2,1H3"
C01035_gamma-Guanidinobutyrate,TUHVEAJXIMEOSA-UHFFFAOYSA-N,HMDB0003464,C01035,"InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)"
C05635_5-Hydroxyindoleacetate,DUUGKQCEGZLZNO-UHFFFAOYSA-N,HMDB0000763,C05635,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)"
C00881_2'-Deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,HMDB0000014,C00881,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1"
C06104_Adipate,WNLRTRBMVRJNCN-UHFFFAOYSA-N,HMDB0000448,C06104,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)"
C00047_Lys,KDXKERNSBIXSRK-YFKPBYRVSA-N,HMDB0000182,C00047,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1"
C00099_beta-Ala,UCMIRNVEIXFBKS-UHFFFAOYSA-N,HMDB0000056,C00099,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)"
C00140_N-Acetylglucosamine,OVRNDRQMDRJTHS-RTRLPJTCSA-N,HMDB0000215,C00140,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1"
C05145_3-Aminoisobutyrate,QCHPKSFMDHPSNR-UHFFFAOYSA-N,HMDB0003911,C05145,"InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)"
C00483_Tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N,HMDB0000306,C00483,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2"
C00568_p-Aminobenzoate,ALYNCZNDIQEVRV-UHFFFAOYSA-N,HMDB0001392,C00568,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)"
"C00628_2,5-Dihydroxybenzoate",WXTMDXOMEHJXQO-UHFFFAOYSA-N,HMDB0000152,C00628,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)"
C11118_1-Methyl-2-pyrrolidinone,SECXISVLQFMRJM-UHFFFAOYSA-N,HMDB0002039,C11118,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3"
C00212_Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,HMDB0000050,C00212,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
C01152_3-Methylhistidine,JDHILDINMRGULE-LURJTMIESA-N,HMDB0000479,C01152,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1"
C05135_4-(beta-Acetylaminoethyl)imidazole,XJWPISBUKWZALE-UHFFFAOYSA-N,HMDB0013253,C05135,"InChI=1S/C7H11N3O/c1-6(11)9-3-2-7-4-8-5-10-7/h4-5H,2-3H2,1H3,(H,8,10)(H,9,11)"
_Diazoxide,GDLBFKVLRPITMI-UHFFFAOYSA-N,HMDB0015251,C06949,"InChI=1S/C8H7ClN2O2S/c1-5-10-7-3-2-6(9)4-8(7)14(12,13)11-5/h2-4H,1H3,(H,10,11)"
C00213_Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,HMDB0000271,C00213,"InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)"
C00431_5-Aminovalerate,JJMDCOVWQOJGCB-UHFFFAOYSA-N,HMDB0003355,C00431,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)"
C00440_5-Methyltetrahydrofolate,ZNOVTXRBGFNYRX-ABLWVSNPSA-N,HMDB0001396,C00440,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/t12?,13-/m0/s1"
