BIOCHEMICAL,pathway_sortorder,super_pathway,sub_pathway,comp_id,platform,chemical_id,ri,mass,pubchem,cas,kegg,hmdb,inchikey
1-palmitoyl-GPA (16:0),2501,Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600.0,409.2361,6419701,17618-08-5,C04036,HMDB00327,
glyco-beta-muricholate,3378,Lipid,Primary Bile Acid Metabolism,62066,LC/MS Neg,100020214,4762.0,464.3018,,,,,
limonin,4961,Xenobiotics,Food Component/Plant,48132,LC/MS Pos Early,100005950,3340.0,471.2014,179651,1180-71-8,"D00173,C03514",,
quinate,4769,Xenobiotics,Food Component/Plant,18335,LC/MS Polar,100000442,2432.9,191.0561,6508,77-95-2,C00296,HMDB03072,
arabonate/xylonate,1241,Carbohydrate,Pentose Metabolism,48255,LC/MS Polar,100006115,2700.0,165.0405,,,,,
glycerophosphoglycerol,2761,Lipid,Glycerolipid Metabolism,48857,LC/MS Pos Early,100001619,520.0,247.0577,439964,,C03274,,
cysteine,423,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1868,LC/MS Pos Early,800,1475.0,122.027,5862,52-90-4;56-89-3,C00097,HMDB00574,
glutamine conjugate of C9H16O2 (1)*,6073,Partially Characterized Molecules,Partially Characterized Molecules,63659,LC/MS Neg,100021684,4243.0,283.1663,,,,,
7-ketocholesterol,3121,Lipid,Sterol,34188,LC/MS Pos Late,100001100,2413.0,383.3309,91474,566-28-9,,HMDB00501,
genistein glucuronide*,4569,Xenobiotics,Food Component/Plant,62063,LC/MS Neg,100020216,2895.0,445.0776,,,,,
3-hydroxy-2-methylpyridine,5975,Xenobiotics,Chemical,64336,LC/MS Pos Early,100020974,2551.0,110.0598,70719,1121-25-1,,,
chlorothiazide,5462,Xenobiotics,Drug - Cardiovascular,64188,LC/MS Polar,100021791,770.0,293.9415,,58-94-6,,,
N6-methyllysine,111,Amino Acid,Lysine Metabolism,62860,LC/MS Pos Early,100003415,2831.0,161.1285,164795,1188-07-4,C02728,HMDB02038,
N-acetyltryptophan,245,Amino Acid,Tryptophan Metabolism,33959,LC/MS Neg,100001254,2630.0,245.0932,700653,1218-34-4,C03137,HMDB13713,
dihydroferulate,4744,Xenobiotics,Food Component/Plant,40481,LC/MS Neg,100003432,1928.0,195.0663,14340,1135-23-5,,,
thymol sulfate,4938,Xenobiotics,Food Component/Plant,36095,LC/MS Neg,100001757,4410.0,229.054,,89-83-8,C09908,HMDB01878,
isoleucine,358,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1125,LC/MS Pos Early,376,2800.0,132.1019,6306,73-32-5,C00407,HMDB00172,
carnitine,1872,Lipid,Carnitine Metabolism,15500,LC/MS Pos Early,100000007,1978.0,162.1125,10917,461-05-2,C00318,HMDB00062,
N-acetylalliin,4683,Xenobiotics,Food Component/Plant,45404,LC/MS Neg,100005367,1410.0,218.0493,,,,,
ginkgolic acid C15:1,4589,Xenobiotics,Food Component/Plant,64200,LC/MS Polar,100021252,677.0,345.2435,5281858,22910-60-7,C10794,,
allantoin,4039,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672.0,157.0367,204,97-59-6,C02350,HMDB00462,
paroxetine,5635,Xenobiotics,Drug - Psychoactive,40461,LC/MS Pos Late,100003442,963.0,330.15,43815,110429-49-8,"D02362,C07415",,
fexofenadine,5695,Xenobiotics,Drug - Respiratory,42021,LC/MS Pos Late,100004018,944.0,502.2952,3348,83799-24-0,C06999,HMDB05030,
"1,3-propanediol",5809,Xenobiotics,Chemical,45434,LC/MS Pos Early,100001175,832.0,77.0597,10442,504-63-2,C02457,,
methylphosphate,4184,Nucleotide,Purine and Pyrimidine Metabolism,37070,LC/MS Pos Early,100001805,544.0,112.9998,13130,7023-27-0,,HMDB61711,
glutamine conjugate of C6H10O2 (1)*,6066,Partially Characterized Molecules,Partially Characterized Molecules,63657,LC/MS Neg,100020261,2404.0,241.1194,,,,,
pyrraline,4976,Xenobiotics,Food Component/Plant,48428,LC/MS Neg,100001767,2304.0,253.1194,122228,74509-14-1,,HMDB33143,
caffeine,4479,Xenobiotics,Xanthine Metabolism,569,LC/MS Pos Early,849,2106.0,195.0877,2519,58-08-2,C07481,HMDB01847,
desmethylcitalopram*,5631,Xenobiotics,Drug - Psychoactive,62477,LC/MS Pos Late,100020790,880.0,311.1554,162180,,C16608,"HMDB14021,HMDB60576",
O-desmethylvenlafaxine,5625,Xenobiotics,Drug - Psychoactive,43334,LC/MS Pos Early,100004173,3253.0,264.1958,125017,300827-87-6,D07793,HMDB60532,
tricosanoyl sphingomyelin (d18:1/23:0)*,3020,Lipid,Sphingomyelins,52436,LC/MS Pos Late,100008955,3350.0,801.6844,46891684,,,HMDB12105,
"5alpha-androstan-3beta,17alpha-diol disulfate",3299,Lipid,Androgenic Steroids,37187,LC/MS Neg,100002021,4215.0,225.0697,,,,,
isohyodeoxycholate,3454,Lipid,Secondary Bile Acid Metabolism,57774,LC/MS Neg,100015988,4980.0,391.2854,5283822,570-84-3,,HMDB00664,
pyridoxal,4346,Cofactors and Vitamins,Vitamin B6 Metabolism,1651,LC/MS Pos Early,491,2343.0,168.0655,1050,65-22-5,C00250,HMDB01545,
dodecenedioate (C12:1-DC)*,1639,Lipid,"Fatty Acid, Dicarboxylate",61864,LC/MS Neg,100019972,2700.0,227.1289,,,,,
2-methylcitrate/homocitrate,1415,Energy,TCA Cycle,52282,LC/MS Neg,100008929,575.0,205.0354,,,,,
N-palmitoyl-sphingosine (d18:1/16:0),2935,Lipid,Ceramides,44877,LC/MS Pos Late,1518,2893.0,538.5194,5283564,24696-26-2,,HMDB04949,
3-(2-hydroxyphenyl)propionate,4429,Xenobiotics,Benzoate Metabolism,35634,LC/MS Neg,100001623,2530.0,165.0557,873,495-78-3,C01198,HMDB33752,
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",3031,Lipid,Sphingomyelins,52615,LC/MS Pos Late,100008920,2350.0,717.5905,,121999-64-2,,,
lisinopril,5481,Xenobiotics,Drug - Cardiovascular,54787,LC/MS Pos Early,100009389,3292.0,406.2337,3937,76547-98-3,,,
4-ureidobutyrate,4142,Nucleotide,"Pyrimidine Metabolism, Uracil containing",22118,LC/MS Polar,100000718,2217.5,145.0619,1571307,259232,,,
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,2828,Lipid,Diacylglycerol,54958,LC/MS Pos Late,100010925,3015.0,634.5405,,,,,
dehydrophytosphingosine*,2918,Lipid,Sphingolipid Synthesis,63037,LC/MS Pos Late,100021236,1302.0,316.2846,,,,,
tryptamine,283,Amino Acid,Tryptophan Metabolism,6104,LC/MS Pos Early,1095,3062.0,161.1073,1150,61-54-1,C00398,HMDB00303,
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,2851,Lipid,Diacylglycerol,57450,LC/MS Pos Late,100010949,3404.0,662.5718,,,,,
N-carbamoylglutamate,5727,Xenobiotics,Drug - Other,38749,LC/MS Pos Early,100002668,865.0,191.0663,121396,1188-38-1,C05829,,
glycocholate sulfate,3386,Lipid,Primary Bile Acid Metabolism,52967,LC/MS Neg,100006639,4560.0,271.6257,,,,,
2-hydroxynervonate*,1916,Lipid,"Fatty Acid, Monohydroxy",61698,LC/MS Polar,100015638,714.0,381.3374,5312783,,,,
1-oleoyl-GPS (18:1),2618,Lipid,Lysophospholipid,19260,LC/MS Neg,100000630,5607.0,522.2837,9547099,326589-90-6,,HMDB61694,
2-hydroxysebacate,1660,Lipid,"Fatty Acid, Dicarboxylate",63357,LC/MS Neg,100020378,1324.0,217.1081,128458,103963-71-9,,HMDB00424,
sulfate of piperine metabolite C18H21NO3 (1)*,4885,Xenobiotics,Food Component/Plant,62297,LC/MS Neg,100020502,4481.0,378.1017,,,,,
glucuronide of C10H18O2 (8)*,6045,Partially Characterized Molecules,Partially Characterized Molecules,61888,LC/MS Neg,100020015,3865.0,345.1555,,,,,
1-stearoyl-GPI (18:0),2636,Lipid,Lysophospholipid,19324,LC/MS Neg,100000656,5794.0,599.3202,,796963-93-4,,HMDB61696,
nicotinate ribonucleoside,4202,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,33471,LC/MS Pos Early,100001316,1536.0,256.0816,161234,2625-49-2,C05841,HMDB06809,
"androstenediol (3beta,17beta) monosulfate (2)",3271,Lipid,Androgenic Steroids,37210,LC/MS Neg,100002029,4500.0,369.1741,,,,,
"9,10-DiHOME sulfate",1972,Lipid,"Fatty Acid, Dihydroxy",63605,LC/MS Neg,100020597,4565.0,393.1952,,,,,
2-oxindole-3-acetate,4648,Xenobiotics,Food Component/Plant,40479,LC/MS Neg,100003109,2076.0,190.051,3080590,2971-31-5,,HMDB35514,
gamma-glutamyl-epsilon-lysine,608,Peptide,Gamma-glutamyl Amino Acid,33934,LC/MS Pos Early,100001262,2725.0,276.1554,7015685,17105-15-6,,HMDB03869,
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),2208,Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2450.0,760.5851,6436017,26853-31-6;26853-31-6,,HMDB07972,
hexanoylglycine (C6),1752,Lipid,Fatty Acid Metabolism (Acyl Glycine),35436,LC/MS Neg,100001527,2900.0,172.0979,99463,24003-67-6,,HMDB00701,
isoxanthohumol,5078,Xenobiotics,Food Component/Plant,64094,LC/MS Neg,100021038,4928.0,353.1394,513197,70872-29-6,,HMDB34048,
imidazole propionate,78,Amino Acid,Histidine Metabolism,40730,LC/MS Pos Early,100003434,2263.0,141.0659,70630,1074-59-5,,HMDB02271,
N-acetylglucosamine/N-acetylgalactosamine,1387,Carbohydrate,Aminosugar Metabolism,46539,LC/MS Pos Early,100006435,715.0,222.0972,,,,,
N-methylpipecolate,5146,Xenobiotics,Bacterial/Fungal,47101,LC/MS Pos Early,100005383,1932.0,144.1019,11286529,41447-17-0,,,
ribulonate/xylulonate/lyxonate*,1245,Carbohydrate,Pentose Metabolism,61858,LC/MS Polar,100019968,2350.0,165.0405,,,,,
N-linoleoyltaurine*,2106,Lipid,Endocannabinoid,61826,LC/MS Neg,100005814,5505.0,386.2371,,,,,
kaempferol,4524,Xenobiotics,Food Component/Plant,17785,LC/MS Pos Late,2073,836.0,287.055,5280863,520,C05903,HMDB05801,
4-aminophenol sulfate (2),5197,Xenobiotics,"Drug - Analgesics, Anesthetics",54809,LC/MS Neg,100010871,1168.0,188.0023,,,,,
homocitrulline,462,Amino Acid,Urea cycle; Arginine and Proline Metabolism,22138,LC/MS Pos Early,100000963,1908.0,190.1186,65072,1190-49-4,C02427,HMDB00679,
theobromine,4481,Xenobiotics,Xanthine Metabolism,18392,LC/MS Pos Early,100000445,1600.0,181.072,5429,83-67-0,C07480,HMDB02825,
N6-acetyllysine,104,Amino Acid,Lysine Metabolism,36752,LC/MS Polar,100001734,2612.6,187.1088,92832,692-04-6,C02727,HMDB00206,
diosmetin,4969,Xenobiotics,Food Component/Plant,48367,LC/MS Neg,100006022,4081.0,299.0561,5281612,520-34-3,C10038,HMDB29676,
pimelate (C7-DC),1624,Lipid,"Fatty Acid, Dicarboxylate",15704,LC/MS Polar,100000101,2745.0,159.0663,385,111-16-0,C02656,HMDB00857,
arachidoyl ethanolamide (20:0)*,2114,Lipid,Endocannabinoid,57532,LC/MS Pos Late,100015853,1941.0,356.3523,3787294,,,,
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,2886,Lipid,Galactosyl Glycerolipids,54901,LC/MS Pos Late,100010893,2731.0,772.5933,,,,,
"bilirubin degradation product, C17H18N2O4 (2)",6113,Partially Characterized Molecules,Partially Characterized Molecules,64407,LC/MS Neg,100022006,4793.0,313.1194,,,,,
N-methylphenylalanine,145,Amino Acid,Phenylalanine Metabolism,42999,LC/MS Pos Early,100004042,2790.0,180.1019,4657542,2566-30-5,,,
2-oleoylglycerol (18:1),2785,Lipid,Monoacylglycerol,21232,LC/MS Neg,100000943,6500.0,281.2486,5319879,3443-84-3,,HMDB11537,
genistein sulfate*,4739,Xenobiotics,Food Component/Plant,62061,LC/MS Neg,100020207,3616.0,349.0024,,,,,
solanidine,4917,Xenobiotics,Food Component/Plant,39788,LC/MS Pos Late,100002773,1010.0,398.3418,65727,80-78-4,C06543,HMDB03236,
galactosylglycerol,2882,Lipid,Galactosyl Glycerolipids,57345,LC/MS Neg,100003064,795.0,253.0929,16048618,16232-91-0,C05401,HMDB06790,
N-(2-furoyl)glycine,4829,Xenobiotics,Food Component/Plant,31536,LC/MS Neg,100001086,1525.0,168.0302,21863,5657-19-2;5657-19-2,,HMDB00439,
lignoceroyl sphingomyelin (d18:1/24:0),3021,Lipid,Sphingomyelins,57330,LC/MS Pos Late,100006298,3437.0,815.7001,44260127,60037-60-7,,,
4-hydroxyglutamate,49,Amino Acid,Glutamate Metabolism,40499,LC/MS Pos Early,100002544,1141.0,164.0554,439902,2485-33-8,C03079,HMDB01344,
3-methyl-2-oxobutyrate,391,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Neg,100000936,1465.0,115.0401,49,3715-29-5,C00141,HMDB00019,
phenylalanine,137,Amino Acid,Phenylalanine Metabolism,64,LC/MS Pos Early,460,2878.0,166.0863,6140,63-91-2,C00079,HMDB00159,
3-methylglutarate/2-methylglutarate,1613,Lipid,"Fatty Acid, Dicarboxylate",54676,LC/MS Polar,100010834,2832.0,145.0506,,,,,
urate,4037,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1604,LC/MS Neg,1134,757.1,167.0211,1175,69-93-2;120K5305,C00366,HMDB00289,
"2,4,6-trihydroxybenzoate",4383,Xenobiotics,Benzoate Metabolism,35892,LC/MS Neg,100001718,1574.0,169.0142,66520,83-30-7,,HMDB29649,
vanillin,4630,Xenobiotics,Food Component/Plant,37442,LC/MS Neg,100002051,2311.9,151.0401,1183,121-33-5,C00755,HMDB12308,
N(1)-acetylspermine,521,Amino Acid,Polyamine Metabolism,32360,LC/MS Pos Early,1200,3356.0,245.2336,916,77928-70-2,C02567,HMDB01186,
choline,2159,Lipid,Phospholipid Metabolism,15506,LC/MS Pos Early,1256,1961.0,104.10700000000001,305,67-48-1,C00114,HMDB00097,
galactonate,1328,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",27719,LC/MS Polar,100001026,3085.0,195.051,128869,299-28-5,C00880,HMDB00565,
behenoyl sphingomyelin (d18:1/22:0)*,3019,Lipid,Sphingomyelins,48492,LC/MS Pos Late,100006294,3250.0,787.6688,44260125,,,HMDB12103,
indoleacetate,286,Amino Acid,Tryptophan Metabolism,27513,LC/MS Neg,100001034,2200.0,174.0561,802,6505-45-9,C00954,HMDB00197,
margarate (17:0),1463,Lipid,Long Chain Saturated Fatty Acid,1121,LC/MS Neg,891,5731.0,269.2486,10465,506-12-7,,HMDB02259,
sulfate of piperine metabolite C16H17NO3 (2)*,4877,Xenobiotics,Food Component/Plant,62307,LC/MS Neg,100020501,4362.0,350.0704,,,,,
4-methylthio-2-oxobutanoate,410,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",40732,LC/MS Neg,100003712,1635.0,147.0121,473,583-92-6,C01180,HMDB01553,
meglumine,5896,Xenobiotics,Chemical,42638,LC/MS Pos Early,100004440,1838.0,196.118,4049,6284-40-8,,,
S-methylcysteine sulfoxide,426,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",43378,LC/MS Pos Early,100002927,900.0,152.0376,82142,6853-87-8,,HMDB29432,
2-hydroxyphenylacetate,153,Amino Acid,Phenylalanine Metabolism,1432,LC/MS Polar,235,858.6,151.0401,11970,614-75-5,C05852,HMDB00669,
cysteinylglycine disulfide*,545,Amino Acid,Glutathione Metabolism,62103,LC/MS Pos Early,100002466,2547.0,298.0526,,70555-24-7,,HMDB00709,
guanine,4089,Nucleotide,"Purine Metabolism, Guanine containing",32352,LC/MS Pos Early,172,2032.0,152.0567,764,73-40-5,C00242,HMDB00132,
N-palmitoyl-sphinganine (d18:0/16:0),2923,Lipid,Dihydroceramides,52604,LC/MS Pos Late,100009028,3090.0,540.535,5283572,5966-29-0,,HMDB11760,
chenodeoxycholic acid sulfate (2),3367,Lipid,Primary Bile Acid Metabolism,63608,LC/MS Neg,100021651,4807.0,235.1175,,,,,
(3'-5')-adenylyluridine,4187,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002.0,572.1148,112074,3051-84-1,,,
GlcNAc sulfate conjugate of C21H34O2 steroid,6102,Partially Characterized Molecules,Partially Characterized Molecules,63699,LC/MS Neg,100021726,4336.7,299.6386,,,,,
"N6,N6,N6-trimethyllysine",113,Amino Acid,Lysine Metabolism,1498,LC/MS Pos Early,189,2825.0,189.1598,440120,23284-33-5,C03793,HMDB01325,
"ceramide (d16:1/24:1, d18:1/22:1)*",2965,Lipid,Ceramides,57437,LC/MS Pos Late,100015727,3850.0,620.5976,,,,,
3b-hydroxy-5-cholenoic acid,3446,Lipid,Secondary Bile Acid Metabolism,43507,LC/MS Neg,100004182,5205.0,373.2748,92997,5255-17-4,,HMDB00308,
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,2957,Lipid,Ceramides,57430,LC/MS Pos Late,100015731,2645.0,524.5037,,,,,
linolenoyl-linolenoyl-glycerol (18:3/18:3) [1]*,2849,Lipid,Diacylglycerol,54951,LC/MS Pos Late,100010932,2229.0,630.5092,,,,,
dodecanedioate (C12),1637,Lipid,"Fatty Acid, Dicarboxylate",32388,LC/MS Neg,100001102,2990.0,229.1445,12736,693-23-2,C02678,HMDB00623,
1-stearoyl-GPA (18:0),2504,Lipid,Lysophospholipid,36810,LC/MS Neg,100001670,5829.0,437.2674,89567,325465-92-7;799268-65-8,,,
2-hydroxyoleate,1910,Lipid,"Fatty Acid, Monohydroxy",54920,LC/MS Neg,100010866,5560.0,297.2435,9796304,56472-29-8,,,
indolin-2-one,4802,Xenobiotics,Food Component/Plant,43374,LC/MS Pos Early,100004318,2575.0,134.06,321710,59-48-3,C12312,,
2-hydroxyglutarate,1614,Lipid,"Fatty Acid, Dicarboxylate",52294,LC/MS Pos Early,100002070,958.0,166.071,43,40951-21-1,C02630,HMDB0059655,
2'-deoxyguanosine,4106,Nucleotide,"Purine Metabolism, Guanine containing",1411,LC/MS Neg,348,1700.0,266.0895,187790,961-07-9,C00330,HMDB00085,
4-hydroxycinnamate,5033,Xenobiotics,Food Component/Plant,36770,LC/MS Polar,100001675,1200.0,163.0401,637542,501-98-4,C00811,HMDB02035,
3-hydroxyhippurate,4363,Xenobiotics,Benzoate Metabolism,39600,LC/MS Neg,100002122,1687.0,194.0459,450268,1637-75-8,,HMDB06116,
inosine,4025,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1123,LC/MS Neg,361,1602.1,267.0735,6021,58-63-9,C00294,HMDB00195,
beta-sitosterol,3131,Lipid,Sterol,27414,LC/MS Pos Late,100001033,3054.0,397.3829,222284,83-46-5,C01753,HMDB00852,
methylmalonate (MMA),1725,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1496,LC/MS Polar,418,3078.4,117.0193,487,516-05-2,C02170,HMDB00202,
N-formylphenylalanine,221,Amino Acid,Tyrosine Metabolism,48433,LC/MS Neg,100006056,2360.0,192.0666,759256,13200-85-6,,,
alpha-tocotrienol,4263,Cofactors and Vitamins,Tocopherol Metabolism,37502,LC/MS Pos Late,100001979,1986.0,424.3336,5282347,58864-81-6,C14153,HMDB06327,
2-hydroxyheptanoate*,1899,Lipid,"Fatty Acid, Monohydroxy",61827,LC/MS Polar,100019960,925.0,145.08700000000002,2750949,,,,
taurine,439,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2125,LC/MS Pos Early,512,660.0,126.022,1123,107-35-7,C00245,HMDB00251,
torasemide,5458,Xenobiotics,Drug - Cardiovascular,64201,LC/MS Neg,100021794,4545.0,347.1183,,56211-40-6,,,
linoleoyl ethanolamide,2111,Lipid,Endocannabinoid,52608,LC/MS Polar,100006726,756.0,368.2806,5283446,68171-52-8,,HMDB12252,
p-hydroxyatorvastatin,5551,Xenobiotics,Drug - Metabolic,47881,LC/MS Neg,100005939,4650.0,573.2406,9851106,265989-44-4,,,
N-stearoyl-sphingosine (d18:1/18:0)*,2939,Lipid,Ceramides,54979,LC/MS Pos Late,1547,3392.0,566.5507,5283565,104404-17-3,,HMDB04950,
TMP,4173,Nucleotide,"Pyrimidine Metabolism, Thymine containing",12023,LC/MS Neg,1248,883.0,321.0493,9700,33430-62-5,C00364,HMDB01227,
tetrahydrocortisol sulfate (2),3222,Lipid,Corticosteroids,62794,LC/MS Neg,100020849,4668.0,445.1902,,,,,
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],2840,Lipid,Diacylglycerol,46798,LC/MS Pos Late,100002989,3115.0,636.5562,,106292-55-1,,HMDB07219,
leucylglutamine*,1008,Peptide,Dipeptide,48189,LC/MS Pos Early,100003183,2620.0,260.1605,4305457,,,HMDB28927,
"bilirubin degradation product, C17H18N2O4 (3)",6114,Partially Characterized Molecules,Partially Characterized Molecules,64408,LC/MS Neg,100022007,4906.0,313.1194,,,,,
oleoyl ethanolamide,2088,Lipid,Endocannabinoid,38102,LC/MS Pos Late,1137,1661.0,326.3054,5283454,11-58-0;111-58-0,,HMDB02088,
epicatechin,4575,Xenobiotics,Food Component/Plant,17774,LC/MS Neg,2070,2868.0,289.0718,72276,490-46-0,C09727,HMDB01871,
3-amino-2-piperidone,457,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62853,LC/MS Pos Early,100020361,2065.0,115.0866,5200225,1892-22-4,,HMDB00323,
2-palmitoylglycerol (16:0),2782,Lipid,Monoacylglycerol,33419,LC/MS Neg,100001048,6400.0,255.2329,123409,23470-00-0,,HMDB11533,
oleate/vaccenate (18:1),1484,Lipid,Long Chain Monounsaturated Fatty Acid,52285,LC/MS Neg,100008930,5655.0,281.2486,,,,,
glycerol,2755,Lipid,Glycerolipid Metabolism,15122,LC/MS Neg,1254,758.0,91.0401,753,56-81-5,C00116,HMDB00131,
tyramine,165,Amino Acid,Tyrosine Metabolism,1603,LC/MS Pos Early,1133,2540.0,138.0913,5610,60-19-5,C00483,HMDB00306,
androsterone sulfate,3260,Lipid,Androgenic Steroids,31591,LC/MS Neg,100001073,5022.0,369.1741,159663,2479-86-9,,HMDB02759,
beta-citrylglutamate,55,Amino Acid,Glutamate Metabolism,54923,LC/MS Neg,100003271,530.0,320.0623,72715786,73590-26-8,C20775,,
chrysin,4712,Xenobiotics,Food Component/Plant,40431,LC/MS Neg,100002958,4674.0,253.0506,5281607,480-40-0,C10028,HMDB36619,
16a-hydroxy DHEA 3-sulfate,3249,Lipid,Androgenic Steroids,38168,LC/MS Neg,100002126,4240.0,383.1534,,,,,
glycoursodeoxycholic acid sulfate (1),3424,Lipid,Secondary Bile Acid Metabolism,63731,LC/MS Neg,100020819,4309.0,263.6282,,,,,
8-hydroxyoctanoate,1941,Lipid,"Fatty Acid, Monohydroxy",21239,LC/MS Neg,100000956,2300.0,159.1027,69820,764-89-6,,HMDB61914,
2-oxoarginine*,459,Amino Acid,Urea cycle; Arginine and Proline Metabolism,55072,LC/MS Pos Early,100002784,1760.0,174.0873,558,663193,C03771,HMDB04225,
lignoceroylcarnitine (C24)*,1813,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57515,LC/MS Pos Late,100015834,1603.0,512.4673,,,,,
xanthosine,4029,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15136,LC/MS Neg,100000299,1075.0,283.0684,64959,146-80-5,C01762,HMDB00299,
bufotenine,4696,Xenobiotics,Food Component/Plant,41609,LC/MS Pos Early,100003734,2564.0,205.1335,10257,487-93-4,C08299,HMDB41842,
dimethyl sulfone,5882,Xenobiotics,Chemical,43424,LC/MS Pos Early,100004284,832.0,95.0161,6213,67-71-0,C11142,HMDB04983,
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",3014,Lipid,Dihydrosphingomyelins,57473,LC/MS Pos Late,100009027,2500.0,733.6218,,,,HMDB12087,
glucuronide of piperine metabolite C17H21NO3 (1)*,4868,Xenobiotics,Food Component/Plant,62288,LC/MS Neg,100020489,3814.0,462.17699999999996,,,,,
equol sulfate,4757,Xenobiotics,Food Component/Plant,40478,LC/MS Neg,100003429,3630.0,321.0438,,,,,
p-cresol,4440,Xenobiotics,Benzoate Metabolism,33444,LC/MS Neg,100001018,4154.0,107.0502,2879,106-44-5,C01468,HMDB01858,
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,2747,Lipid,Lysoplasmalogen,52474,LC/MS Neg,100002875,6450.0,554.3463,10917802,,,HMDB10407,
1-stearoyl-2-oleoyl-GPC (18:0/18:1),2245,Lipid,Phosphatidylcholine (PC),52438,LC/MS Pos Late,100008904,2644.0,788.6164,,56421-10-4,,HMDB08038,
N-acetylpyrraline,4983,Xenobiotics,Food Component/Plant,48438,LC/MS Neg,100006120,2545.0,295.1299,10909522,,,,
oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*,2837,Lipid,Diacylglycerol,54945,LC/MS Pos Late,100010918,3571.0,638.5718,,,,,
isoursodeoxycholate,3416,Lipid,Secondary Bile Acid Metabolism,57577,LC/MS Neg,100002488,4809.0,391.2854,127601,78919-26-3,C17662,HMDB00686,
cholate,3362,Lipid,Primary Bile Acid Metabolism,22842,LC/MS Neg,136,5165.0,407.2803,221493,81-25-4,C00695,HMDB00619,
10-hydroxystearate,1945,Lipid,"Fatty Acid, Monohydroxy",47123,LC/MS Neg,100005852,5370.0,299.2592,9561835,,,HMDB37396,
3-carboxyadipate,1617,Lipid,"Fatty Acid, Dicarboxylate",54723,LC/MS Neg,100009325,571.0,189.0405,222467,923-42-2,,,
suberate (C8-DC),1627,Lipid,"Fatty Acid, Dicarboxylate",15730,LC/MS Neg,100000016,804.3,173.0819,10457,505-48-6,C08278,HMDB00893,
glycitein,4786,Xenobiotics,Food Component/Plant,34024,LC/MS Pos Early,100001222,3245.0,285.0758,5317750,40957-83-3,C14536,HMDB05781,
glycochenodeoxycholate glucuronide (1),3381,Lipid,Primary Bile Acid Metabolism,52983,LC/MS Neg,100009264,4806.0,311.6658,,,,,
N-oleoylserine,2125,Lipid,Endocannabinoid,57664,LC/MS Neg,100015641,5600.0,368.2806,,,,,
3-(methylthio)acetaminophen sulfate*,5194,Xenobiotics,"Drug - Analgesics, Anesthetics",62567,LC/MS Neg,100020827,2265.0,276.0006,,,,,
4-acetamidobutanoate,528,Amino Acid,Polyamine Metabolism,1558,LC/MS Pos Early,1113,1350.0,146.0812,18189,3025-96-5,C02946,HMDB03681,
2-hydroxydecanoate,1902,Lipid,"Fatty Acid, Monohydroxy",42489,LC/MS Neg,100004089,4840.0,187.13400000000001,21488,5393-81-7,,,
6-oxolithocholate,3430,Lipid,Secondary Bile Acid Metabolism,46336,LC/MS Neg,100001068,5033.0,389.2697,164960,2393-61-5,,,
N-acetyl-S-allyl-L-cysteine,4958,Xenobiotics,Food Component/Plant,47136,LC/MS Neg,100005818,2237.0,202.0543,152467,23127-41-5,,,
2-methylbutyrylphenylalanine,4451,Xenobiotics,Benzoate Metabolism,44580,LC/MS Neg,100004535,4025.0,248.1292,,,,,
adrenate (22:4n6),1526,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),32980,LC/MS Neg,100001193,5678.0,331.2643,5497181,2091-25-0,C16527,HMDB02226,
N-acetylneuraminate,1373,Carbohydrate,Aminosugar Metabolism,32377,LC/MS Pos Early,1162,660.0,310.1133,439197,131-48-6,C00270,HMDB00230,
deoxycholic acid 3-sulfate,3389,Lipid,Secondary Bile Acid Metabolism,52969,LC/MS Neg,100006638,4880.0,235.1175,,,,,
